,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
8975,"Bronson, IA","Sioux City, IA",24,65,43,17,83,32,30,47,55,132,2013
8974,"Bronson, IA","Sergeant Bluff, IA",13,32,15,22,28,10,15,19,26,60,2013
8976,"Bronson, IA","Sloan, IA",3,26,12,11,20,10,8,18,15,41,2013
8961,"Bronson, IA","Bronson, IA",2,15,5,4,17,1,7,5,10,22,2013
8973,"Bronson, IA","Rodney, IA",0,4,4,0,8,0,2,4,2,8,2013
8970,"Bronson, IA","Moville, IA",0,2,4,0,5,1,4,1,1,6,2013
8967,"Bronson, IA","Le Mars, IA",2,3,1,3,1,2,1,0,5,6,2013
8959,"Bronson, IA","Anthon, IA",2,2,1,1,3,1,3,1,1,5,2013
8964,"Bronson, IA","Hinton, IA",0,2,1,2,1,0,1,0,2,3,2013
8971,"Bronson, IA","Pierson, IA",0,2,0,1,0,1,0,0,2,2,2013
8968,"Bronson, IA","Mapleton, IA",0,2,0,0,1,1,0,2,0,2,2013
8969,"Bronson, IA","Merrill, IA",1,0,1,0,1,1,1,1,0,2,2013
8963,"Bronson, IA","Danbury, IA",0,2,0,0,2,0,1,0,1,2,2013
8960,"Bronson, IA","Boyden, IA",0,0,1,1,0,0,0,1,0,1,2013
8972,"Bronson, IA","Remsen, IA",0,1,0,0,1,0,0,1,0,1,2013
8966,"Bronson, IA","Lawton, IA",0,1,0,0,1,0,0,0,1,1,2013
8965,"Bronson, IA","Kingsley, IA",1,0,0,0,1,0,0,1,0,1,2013
8962,"Bronson, IA","Cushing, IA",0,0,1,0,1,0,1,0,0,1,2013
8977,"Bronson, IA","Westfield, IA",0,1,0,1,0,0,0,1,0,1,2013
