,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
46523,"Milton, IA","Bloomfield, IA",39,91,46,10,139,27,59,61,56,176,2013
46575,"Milton, IA","Ottumwa, IA",31,69,24,48,69,7,27,51,46,124,2013
46557,"Milton, IA","Keosauqua, IA",12,43,16,29,40,2,12,45,14,71,2013
46542,"Milton, IA","Fairfield, IA",8,28,4,15,15,10,5,22,13,40,2013
46567,"Milton, IA","Moulton, IA",7,13,10,7,11,12,13,13,4,30,2013
46564,"Milton, IA","Milton, IA",5,18,5,9,8,11,10,11,7,28,2013
46524,"Milton, IA","Bonaparte, IA",7,12,8,8,10,9,8,14,5,27,2013
46537,"Milton, IA","Des Moines, IA",3,19,1,4,12,7,2,11,10,23,2013
46568,"Milton, IA","Mount Pleasant, IA",1,15,2,7,8,3,4,2,12,18,2013
46519,"Milton, IA","Ankeny, IA",0,9,6,8,6,1,1,5,9,15,2013
46528,"Milton, IA","Cantril, IA",8,3,1,10,0,2,8,4,0,12,2013
46543,"Milton, IA","Farmington, IA",2,4,5,1,9,1,6,4,1,11,2013
46591,"Milton, IA","University Park, IA",4,3,3,1,8,1,2,6,2,10,2013
46530,"Milton, IA","Centerville, IA",1,7,1,3,3,3,1,6,2,9,2013
46540,"Milton, IA","Eldon, IA",1,4,3,2,0,6,2,3,3,8,2013
46593,"Milton, IA","Washington, IA",0,5,3,3,4,1,1,3,4,8,2013
46513,"Milton, IA","Agency, IA",0,8,0,0,5,3,2,6,0,8,2013
46532,"Milton, IA","Clive, IA",4,2,2,0,3,5,5,2,1,8,2013
46599,"Milton, IA","Windsor Heights, IA",2,2,3,0,4,3,4,2,1,7,2013
46527,"Milton, IA","Bussey, IA",1,6,0,7,0,0,0,0,7,7,2013
46515,"Milton, IA","Albia, IA",0,6,1,2,3,2,2,3,2,7,2013
46520,"Milton, IA","Batavia, IA",1,3,2,0,3,3,2,3,1,6,2013
46592,"Milton, IA","Urbandale, IA",2,3,1,2,1,3,3,1,2,6,2013
46544,"Milton, IA","Floris, IA",2,3,1,1,4,1,3,1,2,6,2013
46581,"Milton, IA","Pleasant Hill, IA",3,2,0,0,1,4,3,1,1,5,2013
46583,"Milton, IA","Rathbun, IA",0,0,5,0,4,1,1,3,1,5,2013
46559,"Milton, IA","Knoxville, IA",0,4,1,2,1,2,0,3,2,5,2013
46538,"Milton, IA","Donnellson, IA",2,3,0,1,2,2,1,4,0,5,2013
46531,"Milton, IA","Chariton, IA",2,1,1,0,1,3,2,0,2,4,2013
46577,"Milton, IA","Packwood, IA",1,0,3,0,4,0,1,3,0,4,2013
46563,"Milton, IA","Melcher-Dallas, IA",0,4,0,4,0,0,0,0,4,4,2013
46539,"Milton, IA","Eddyville, IA",1,3,0,3,0,1,0,2,2,4,2013
46547,"Milton, IA","Garden Grove, IA",0,3,1,2,0,2,2,2,0,4,2013
46558,"Milton, IA","Kirkville, IA",0,3,0,0,3,0,0,3,0,3,2013
46554,"Milton, IA","Iowa City, IA",0,3,0,0,3,0,1,2,0,3,2013
46573,"Milton, IA","Osceola, IA",1,0,2,0,0,3,1,2,0,3,2013
46574,"Milton, IA","Oskaloosa, IA",1,0,2,1,1,1,1,1,1,3,2013
46572,"Milton, IA","Newton, IA",0,0,2,0,0,2,2,0,0,2,2013
46565,"Milton, IA","Montrose, IA",1,1,0,1,1,0,1,0,1,2,2013
46579,"Milton, IA","Perry, IA",1,0,1,0,1,1,1,1,0,2,2013
46584,"Milton, IA","Richland, IA",1,0,1,1,0,1,0,0,2,2,2013
46587,"Milton, IA","Sigourney, IA",1,0,1,0,2,0,2,0,0,2,2013
46597,"Milton, IA","West Des Moines, IA",0,2,0,0,1,1,1,0,1,2,2013
46578,"Milton, IA","Pella, IA",2,0,0,1,0,1,1,0,1,2,2013
46555,"Milton, IA","Johnston, IA",0,1,1,0,0,2,1,1,0,2,2013
46529,"Milton, IA","Cedar Falls, IA",1,0,1,0,2,0,1,0,1,2,2013
46553,"Milton, IA","Indianola, IA",1,0,1,0,0,2,1,1,0,2,2013
46534,"Milton, IA","Corydon, IA",1,0,1,1,0,1,1,1,0,2,2013
46551,"Milton, IA","Houghton, IA",0,1,1,1,0,1,1,1,0,2,2013
46549,"Milton, IA","Grinnell, IA",1,1,0,0,1,1,0,0,2,2,2013
46521,"Milton, IA","Birmingham, IA",0,2,0,1,1,0,1,1,0,2,2013
46589,"Milton, IA","Tama, IA",0,1,0,1,0,0,0,1,0,1,2013
46582,"Milton, IA","Pleasanton, IA",1,0,0,1,0,0,0,1,0,1,2013
46525,"Milton, IA","Boone, IA",0,0,1,0,0,1,1,0,0,1,2013
46522,"Milton, IA","Blakesburg, IA",0,1,0,1,0,0,0,1,0,1,2013
46585,"Milton, IA","Salem, IA",0,1,0,1,0,0,0,0,1,1,2013
46586,"Milton, IA","Sandyville, IA",0,1,0,1,0,0,0,1,0,1,2013
46588,"Milton, IA","Sioux City, IA",0,1,0,0,0,1,1,0,0,1,2013
46556,"Milton, IA","Kalona, IA",0,1,0,1,0,0,1,0,0,1,2013
46590,"Milton, IA","Toledo, IA",0,1,0,0,1,0,1,0,0,1,2013
46526,"Milton, IA","Brooklyn, IA",1,0,0,0,0,1,1,0,0,1,2013
46517,"Milton, IA","Ames, IA",0,1,0,0,0,1,0,1,0,1,2013
46516,"Milton, IA","Altoona, IA",0,0,1,0,0,1,1,0,0,1,2013
46594,"Milton, IA","Waukee, IA",1,0,0,0,1,0,0,1,0,1,2013
46595,"Milton, IA","Wayland, IA",0,1,0,1,0,0,0,0,1,1,2013
46596,"Milton, IA","Webster, IA",0,1,0,1,0,0,0,1,0,1,2013
46514,"Milton, IA","Ainsworth, IA",0,1,0,0,0,1,0,1,0,1,2013
46598,"Milton, IA","Williamsburg, IA",0,1,0,0,1,0,0,1,0,1,2013
46518,"Milton, IA","Anita, IA",0,1,0,1,0,0,0,0,1,1,2013
46533,"Milton, IA","Conesville, IA",1,0,0,1,0,0,0,1,0,1,2013
46580,"Milton, IA","Plano, IA",0,0,1,0,0,1,0,0,1,1,2013
46546,"Milton, IA","Fremont, IA",0,1,0,0,1,0,0,0,1,1,2013
46552,"Milton, IA","Huxley, IA",0,1,0,0,1,0,0,0,1,1,2013
46560,"Milton, IA","Luther, IA",0,1,0,0,0,1,0,0,1,1,2013
46561,"Milton, IA","Marengo, IA",0,1,0,1,0,0,1,0,0,1,2013
46562,"Milton, IA","Marshalltown, IA",0,1,0,0,1,0,0,1,0,1,2013
46550,"Milton, IA","Hillsboro, IA",0,0,1,0,1,0,0,0,1,1,2013
46566,"Milton, IA","Moravia, IA",0,1,0,0,0,1,0,1,0,1,2013
46548,"Milton, IA","Gravity, IA",0,1,0,0,0,1,0,0,1,1,2013
46569,"Milton, IA","Murray, IA",0,1,0,0,1,0,1,0,0,1,2013
46512,"Milton, IA","Afton, IA",0,0,1,0,0,1,0,1,0,1,2013
46570,"Milton, IA","Mystic, IA",0,1,0,0,0,1,0,1,0,1,2013
46571,"Milton, IA","Nevada, IA",1,0,0,0,1,0,1,0,0,1,2013
46545,"Milton, IA","Franklin, IA",0,0,1,0,0,1,0,1,0,1,2013
46541,"Milton, IA","Ellsworth, IA",0,0,1,1,0,0,0,1,0,1,2013
46536,"Milton, IA","De Soto, IA",0,1,0,0,1,0,1,0,0,1,2013
46535,"Milton, IA","Creston, IA",0,1,0,0,1,0,0,1,0,1,2013
46576,"Milton, IA","Oxford, IA",0,1,0,0,1,0,1,0,0,1,2013
46511,"Milton, IA","Adel, IA",0,0,1,0,1,0,1,0,0,1,2013
