,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
51015,"New Market, IA","Clarinda, IA",19,55,32,31,62,13,24,41,41,106,2013
51014,"New Market, IA","Braddyville, IA",4,11,11,5,21,0,14,6,6,26,2013
51022,"New Market, IA","Farragut, IA",2,14,9,22,2,1,2,2,21,25,2013
51035,"New Market, IA","Shenandoah, IA",6,12,4,2,17,3,4,10,8,22,2013
51013,"New Market, IA","Blanchard, IA",2,7,3,7,2,3,2,5,5,12,2013
51017,"New Market, IA","Council Bluffs, IA",5,3,2,0,4,6,4,4,2,10,2013
51029,"New Market, IA","New Market, IA",3,1,2,2,2,2,2,3,1,6,2013
51033,"New Market, IA","Red Oak, IA",4,2,0,1,3,2,2,1,3,6,2013
51023,"New Market, IA","Glenwood, IA",1,5,0,0,6,0,1,2,3,6,2013
51030,"New Market, IA","Nodaway, IA",0,3,2,2,2,1,3,2,0,5,2013
51032,"New Market, IA","Randolph, IA",0,2,3,0,3,2,0,4,1,5,2013
51016,"New Market, IA","Coburg, IA",0,3,1,4,0,0,0,0,4,4,2013
51018,"New Market, IA","Creston, IA",1,2,0,0,2,1,2,0,1,3,2013
51012,"New Market, IA","Bedford, IA",0,0,2,0,2,0,1,1,0,2,2013
51036,"New Market, IA","Sidney, IA",0,1,1,0,1,1,0,1,1,2,2013
51021,"New Market, IA","Essex, IA",0,1,1,0,2,0,0,1,1,2,2013
51037,"New Market, IA","Stanton, IA",0,1,1,1,0,1,1,1,0,2,2013
51019,"New Market, IA","Denison, IA",0,1,1,0,2,0,0,2,0,2,2013
51031,"New Market, IA","Pacific Junction, IA",0,0,2,1,0,1,0,1,1,2,2013
51034,"New Market, IA","Riverton, IA",0,0,1,0,1,0,0,1,0,1,2013
51025,"New Market, IA","Gravity, IA",1,0,0,0,1,0,1,0,0,1,2013
51028,"New Market, IA","Magnolia, IA",0,1,0,0,0,1,0,0,1,1,2013
51027,"New Market, IA","Macedonia, IA",0,1,0,1,0,0,0,0,1,1,2013
51026,"New Market, IA","Guthrie Center, IA",1,0,0,0,0,1,1,0,0,1,2013
51024,"New Market, IA","Grand River, IA",0,1,0,0,0,1,0,0,1,1,2013
51020,"New Market, IA","Dunlap, IA",0,0,1,0,0,1,0,0,1,1,2013
51038,"New Market, IA","Tennant, IA",1,0,0,0,0,1,1,0,0,1,2013
