,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
54553,"Ottumwa, IA","Ottumwa, IA",1604,3459,1432,2067,3700,728,1873,2790,1832,6495,2013
54416,"Ottumwa, IA","Des Moines, IA",70,177,65,38,184,90,57,130,125,312,2013
54440,"Ottumwa, IA","Fairfield, IA",55,150,53,113,118,27,42,106,110,258,2013
54353,"Ottumwa, IA","Ankeny, IA",52,89,38,38,65,76,48,50,81,179,2013
54552,"Ottumwa, IA","Oskaloosa, IA",45,99,23,69,57,41,46,51,70,167,2013
54425,"Ottumwa, IA","Eddyville, IA",27,98,42,131,8,28,11,41,115,167,2013
54396,"Ottumwa, IA","Clive, IA",58,75,21,2,90,62,72,54,28,154,2013
54562,"Ottumwa, IA","Pella, IA",39,77,22,78,51,9,19,35,84,138,2013
54348,"Ottumwa, IA","Albia, IA",35,70,29,68,50,16,18,70,46,134,2013
54478,"Ottumwa, IA","Iowa City, IA",34,55,29,10,71,37,27,53,38,118,2013
54616,"Ottumwa, IA","University Park, IA",40,59,18,25,59,33,35,49,33,117,2013
54351,"Ottumwa, IA","Ames, IA",50,51,12,7,62,44,63,32,18,113,2013
54534,"Ottumwa, IA","Mount Pleasant, IA",37,55,12,25,23,56,19,56,29,104,2013
54514,"Ottumwa, IA","Marshalltown, IA",35,50,19,20,40,44,39,40,25,104,2013
54386,"Ottumwa, IA","Cedar Rapids, IA",28,42,25,17,35,43,33,26,36,95,2013
54519,"Ottumwa, IA","Melcher-Dallas, IA",10,63,21,84,6,4,6,17,71,94,2013
54490,"Ottumwa, IA","Kirkville, IA",23,49,15,21,59,7,11,49,27,87,2013
54618,"Ottumwa, IA","Urbandale, IA",23,36,21,3,28,49,35,29,16,80,2013
54347,"Ottumwa, IA","Agency, IA",13,39,25,6,58,13,25,37,15,77,2013
54379,"Ottumwa, IA","Bussey, IA",12,48,15,67,2,6,2,7,66,75,2013
54643,"Ottumwa, IA","Windsor Heights, IA",22,34,19,1,35,39,30,29,16,75,2013
54368,"Ottumwa, IA","Bloomfield, IA",20,30,21,9,51,11,25,21,25,71,2013
54626,"Ottumwa, IA","Waterloo, IA",20,41,9,31,18,21,19,20,31,70,2013
