,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
74761,"Webster, IA","Webster, IA",20,35,19,33,33,8,24,28,22,74,2013
74737,"Webster, IA","Sigourney, IA",22,28,15,1,45,19,22,26,17,65,2013
74754,"Webster, IA","Walford, IA",2,22,13,33,2,2,1,20,16,37,2013
74687,"Webster, IA","Keota, IA",7,14,16,6,16,15,13,14,10,37,2013
74696,"Webster, IA","Marengo, IA",4,23,5,29,1,2,0,2,30,32,2013
74718,"Webster, IA","Oskaloosa, IA",4,12,14,10,15,5,9,11,10,30,2013
74750,"Webster, IA","University Park, IA",3,14,10,7,18,2,4,16,7,27,2013
74755,"Webster, IA","Washington, IA",1,21,5,13,10,4,6,12,9,27,2013
74713,"Webster, IA","North English, IA",9,12,2,0,23,0,11,7,5,23,2013
74719,"Webster, IA","Ottumwa, IA",8,9,6,3,16,4,11,8,4,23,2013
74767,"Webster, IA","Williamsburg, IA",8,11,1,8,2,10,2,10,8,20,2013
74645,"Webster, IA","Clive, IA",13,1,3,0,8,9,7,4,6,17,2013
74684,"Webster, IA","Kalona, IA",2,13,2,11,5,1,2,14,1,17,2013
74656,"Webster, IA","Des Moines, IA",3,5,5,1,10,2,6,3,4,13,2013
74665,"Webster, IA","Fairfield, IA",6,3,4,1,9,3,6,3,4,13,2013
74626,"Webster, IA","Ames, IA",2,7,3,0,10,2,4,1,7,12,2013
74732,"Webster, IA","Riverside, IA",6,4,2,5,5,2,2,5,5,12,2013
74752,"Webster, IA","Victor, IA",2,8,2,4,8,0,1,6,5,12,2013
74724,"Webster, IA","Pella, IA",4,3,3,5,4,1,4,2,4,10,2013
74697,"Webster, IA","Marshalltown, IA",2,7,0,0,7,2,6,2,1,9,2013
74702,"Webster, IA","Montezuma, IA",0,5,3,4,0,4,0,4,4,8,2013
