,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
2686,"Anamosa, IA","Anamosa, IA",77,214,115,17,301,88,141,140,125,406,2013
2775,"Anamosa, IA","Morley, IA",24,92,59,13,130,32,55,63,57,175,2013
2773,"Anamosa, IA","Monticello, IA",39,96,34,10,108,51,49,76,44,169,2013
2769,"Anamosa, IA","Martelle, IA",12,44,19,2,52,21,24,30,21,75,2013
2707,"Anamosa, IA","Center Junction, IA",16,38,14,8,38,22,16,36,16,68,2013
2706,"Anamosa, IA","Cedar Rapids, IA",12,40,14,3,50,13,16,25,25,66,2013
2803,"Anamosa, IA","Robins, IA",12,40,8,3,43,14,5,18,37,60,2013
2747,"Anamosa, IA","Hiawatha, IA",14,21,9,2,30,12,8,17,19,44,2013
2759,"Anamosa, IA","Lisbon, IA",10,10,1,0,16,5,9,6,6,21,2013
2835,"Anamosa, IA","Wyoming, IA",2,12,4,0,15,3,3,8,7,18,2013
2794,"Anamosa, IA","Prairieburg, IA",5,9,3,0,12,5,6,7,4,17,2013
2726,"Anamosa, IA","Dubuque, IA",1,10,5,0,13,3,4,6,6,16,2013
2810,"Anamosa, IA","Springville, IA",2,10,4,2,7,7,4,8,4,16,2013
2790,"Anamosa, IA","Oxford Junction, IA",0,14,2,2,11,3,4,10,2,16,2013
2751,"Anamosa, IA","Iowa City, IA",3,11,2,0,13,3,3,6,7,16,2013
2699,"Anamosa, IA","Burlington, IA",1,9,3,0,11,2,2,2,9,13,2013
2780,"Anamosa, IA","Muscatine, IA",2,10,0,0,11,1,2,0,10,12,2013
2779,"Anamosa, IA","Mount Vernon, IA",2,7,3,0,9,3,6,1,5,12,2013
2727,"Anamosa, IA","Dyersville, IA",6,4,1,1,7,3,4,2,5,11,2013
2817,"Anamosa, IA","Urbana, IA",0,10,1,0,7,4,2,3,6,11,2013
2748,"Anamosa, IA","Hopkinton, IA",0,4,6,1,7,2,3,4,3,10,2013
2806,"Anamosa, IA","Sageville, IA",0,7,3,0,8,2,0,2,8,10,2013
2815,"Anamosa, IA","Tipton, IA",2,5,3,0,6,4,3,3,4,10,2013
2770,"Anamosa, IA","Mechanicsville, IA",1,8,1,0,3,7,3,5,2,10,2013
2711,"Anamosa, IA","Clinton, IA",3,5,1,0,7,2,5,1,3,9,2013
2792,"Anamosa, IA","Peosta, IA",4,3,2,0,6,3,1,1,7,9,2013
2708,"Anamosa, IA","Center Point, IA",0,7,2,0,7,2,2,5,2,9,2013
2755,"Anamosa, IA","Keokuk, IA",2,3,3,0,7,1,1,1,6,8,2013
2766,"Anamosa, IA","Maquoketa, IA",3,5,0,0,2,6,4,3,1,8,2013
2820,"Anamosa, IA","Vinton, IA",2,2,4,1,2,5,2,2,4,8,2013
2694,"Anamosa, IA","Bertram, IA",3,3,2,1,7,0,3,0,5,8,2013
2723,"Anamosa, IA","Des Moines, IA",0,4,3,0,7,0,1,0,6,7,2013
2823,"Anamosa, IA","Waterloo, IA",2,3,2,0,3,4,0,5,2,7,2013
2731,"Anamosa, IA","Epworth, IA",1,2,4,0,2,5,0,0,7,7,2013
2712,"Anamosa, IA","Coggon, IA",0,4,2,0,6,0,3,3,0,6,2013
2804,"Anamosa, IA","Ryan, IA",1,3,2,0,5,1,1,3,2,6,2013
2782,"Anamosa, IA","New London, IA",1,2,3,0,6,0,1,0,5,6,2013
2785,"Anamosa, IA","North Liberty, IA",1,1,3,1,3,1,0,2,3,5,2013
2709,"Anamosa, IA","Central City, IA",0,4,1,0,1,4,0,2,3,5,2013
2690,"Anamosa, IA","Baldwin, IA",0,3,2,0,5,0,1,3,1,5,2013
2702,"Anamosa, IA","Cascade, IA",2,2,1,1,4,0,2,0,3,5,2013
2688,"Anamosa, IA","Asbury, IA",2,3,0,0,2,3,1,0,4,5,2013
2738,"Anamosa, IA","Fort Madison, IA",0,5,0,0,5,0,0,0,5,5,2013
2765,"Anamosa, IA","Manchester, IA",2,3,0,1,3,1,2,1,2,5,2013
2762,"Anamosa, IA","Low Moor, IA",0,5,0,0,5,0,0,2,3,5,2013
2715,"Anamosa, IA","Coralville, IA",2,2,1,0,5,0,0,1,4,5,2013
2687,"Anamosa, IA","Andrew, IA",0,2,2,0,0,4,0,0,4,4,2013
2704,"Anamosa, IA","Castalia, IA",1,1,2,0,3,1,0,2,2,4,2013
2819,"Anamosa, IA","Victor, IA",3,0,1,0,4,0,3,0,1,4,2013
2783,"Anamosa, IA","New Vienna, IA",2,2,0,1,3,0,0,0,4,4,2013
2734,"Anamosa, IA","Fairfax, IA",3,0,1,1,3,0,2,1,1,4,2013
2705,"Anamosa, IA","Cedar Falls, IA",1,2,1,0,3,1,1,1,2,4,2013
2718,"Anamosa, IA","Davenport, IA",1,2,1,0,3,1,3,1,0,4,2013
2719,"Anamosa, IA","De Witt, IA",1,2,1,0,2,2,2,1,1,4,2013
2830,"Anamosa, IA","Wheatland, IA",2,2,0,0,4,0,3,1,0,4,2013
2685,"Anamosa, IA","Ames, IA",1,2,1,0,4,0,1,0,3,4,2013
2791,"Anamosa, IA","Palo, IA",1,2,1,1,3,0,2,1,1,4,2013
2695,"Anamosa, IA","Bettendorf, IA",2,1,1,0,2,2,2,1,1,4,2013
2834,"Anamosa, IA","Worthington, IA",1,1,1,0,1,2,1,2,0,3,2013
2692,"Anamosa, IA","Belle Plaine, IA",0,3,0,0,2,1,0,3,0,3,2013
2693,"Anamosa, IA","Bellevue, IA",0,3,0,0,1,2,2,0,1,3,2013
2710,"Anamosa, IA","Clarence, IA",1,2,0,0,2,1,1,0,2,3,2013
2829,"Anamosa, IA","West Burlington, IA",1,1,1,0,2,1,0,1,2,3,2013
2730,"Anamosa, IA","Ely, IA",0,3,0,1,1,1,0,0,3,3,2013
