,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
10297,"Casey, IA","Casey, IA",30,31,15,15,50,11,36,28,12,76,2013
10323,"Casey, IA","Guthrie Center, IA",18,25,17,15,37,8,28,18,14,60,2013
10282,"Casey, IA","Adair, IA",5,10,12,2,16,9,8,14,5,27,2013
10287,"Casey, IA","Anita, IA",9,11,7,4,15,8,11,14,2,27,2013
10383,"Casey, IA","Stuart, IA",11,9,5,2,19,4,13,8,4,25,2013
10290,"Casey, IA","Audubon, IA",11,6,4,2,14,5,13,6,2,21,2013
10316,"Casey, IA","Exira, IA",10,6,2,1,14,3,13,4,1,18,2013
10322,"Casey, IA","Greenfield, IA",2,6,6,4,5,5,4,7,3,14,2013
10310,"Casey, IA","De Soto, IA",7,5,2,5,9,0,3,6,5,14,2013
10311,"Casey, IA","Des Moines, IA",4,8,1,0,12,1,12,1,0,13,2013
10398,"Casey, IA","Wiota, IA",2,3,3,1,3,4,2,2,4,8,2013
10390,"Casey, IA","Waukee, IA",4,4,0,1,6,1,4,3,1,8,2013
10289,"Casey, IA","Atlantic, IA",2,3,2,1,4,2,4,1,2,7,2013
10288,"Casey, IA","Ankeny, IA",2,3,2,1,5,1,5,1,1,7,2013
10291,"Casey, IA","Bayard, IA",1,4,2,3,3,1,1,3,3,7,2013
10397,"Casey, IA","Winterset, IA",1,5,0,3,2,1,0,4,2,6,2013
10302,"Casey, IA","Clive, IA",1,2,3,1,5,0,4,0,2,6,2013
10396,"Casey, IA","Windsor Heights, IA",4,1,1,0,5,1,5,1,0,6,2013
10359,"Casey, IA","Orient, IA",3,2,1,2,0,4,1,0,5,6,2013
10283,"Casey, IA","Adel, IA",3,2,0,1,4,0,1,2,2,5,2013
10366,"Casey, IA","Pleasanton, IA",2,0,3,0,3,2,3,2,0,5,2013
10305,"Casey, IA","Council Bluffs, IA",2,1,2,0,2,3,3,1,1,5,2013
10312,"Casey, IA","Dexter, IA",1,3,1,2,2,1,2,1,2,5,2013
10325,"Casey, IA","Harlan, IA",0,3,1,0,2,2,1,3,0,4,2013
10364,"Casey, IA","Perry, IA",0,4,0,1,3,0,3,1,0,4,2013
10386,"Casey, IA","University Park, IA",1,2,1,0,1,3,0,4,0,4,2013
10353,"Casey, IA","Newton, IA",2,2,0,0,3,1,2,2,0,4,2013
10387,"Casey, IA","Urbandale, IA",2,1,1,0,4,0,2,0,2,4,2013
10314,"Casey, IA","East Peru, IA",1,3,0,1,2,1,1,2,1,4,2013
10286,"Casey, IA","Ames, IA",2,1,1,1,1,2,2,1,1,4,2013
10296,"Casey, IA","Carroll, IA",2,0,2,0,3,1,2,2,0,4,2013
10370,"Casey, IA","Redfield, IA",3,0,0,1,1,1,1,1,1,3,2013
10338,"Casey, IA","Linden, IA",2,1,0,1,2,0,2,0,1,3,2013
10356,"Casey, IA","Ogden, IA",0,3,0,0,0,3,0,1,2,3,2013
10365,"Casey, IA","Pleasant Hill, IA",1,2,0,0,2,1,1,2,0,3,2013
10351,"Casey, IA","Mount Ayr, IA",0,2,1,0,3,0,2,1,0,3,2013
10335,"Casey, IA","Le Roy, IA",0,2,0,0,0,2,1,1,0,2,2013
10324,"Casey, IA","Hancock, IA",1,1,0,0,1,1,1,1,0,2,2013
10337,"Casey, IA","Lidderdale, IA",0,1,1,0,0,2,1,1,0,2,2013
10377,"Casey, IA","Sioux City, IA",0,1,1,1,1,0,0,1,1,2,2013
10378,"Casey, IA","Slater, IA",1,1,0,0,1,1,2,0,0,2,2013
10326,"Casey, IA","Huxley, IA",0,1,1,1,0,1,1,0,1,2,2013
10327,"Casey, IA","Indianola, IA",0,1,1,2,0,0,1,0,1,2,2013
10355,"Casey, IA","Norwalk, IA",1,0,1,0,1,1,1,1,0,2,2013
10361,"Casey, IA","Oskaloosa, IA",1,1,0,0,0,2,1,1,0,2,2013
10308,"Casey, IA","Dallas Center, IA",1,1,0,0,1,1,2,0,0,2,2013
10307,"Casey, IA","Cromwell, IA",2,0,0,0,0,2,1,0,1,2,2013
10306,"Casey, IA","Creston, IA",0,2,0,1,0,1,1,1,0,2,2013
10391,"Casey, IA","West Des Moines, IA",1,1,0,1,1,0,1,0,1,2,2013
10294,"Casey, IA","Brayton, IA",1,1,0,0,2,0,1,1,0,2,2013
10285,"Casey, IA","Altoona, IA",1,1,0,0,1,1,1,0,1,2,2013
10382,"Casey, IA","Stanhope, IA",2,0,0,1,1,0,1,0,1,2,2013
10300,"Casey, IA","Chariton, IA",0,1,1,0,1,1,1,1,0,2,2013
10395,"Casey, IA","Williamsburg, IA",0,0,1,0,0,1,0,1,0,1,2013
10367,"Casey, IA","Polk City, IA",0,1,0,1,0,0,0,1,0,1,2013
10368,"Casey, IA","Reasnor, IA",1,0,0,0,0,1,1,0,0,1,2013
