,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
24456,"Exira, IA","Audubon, IA",17,48,33,15,72,11,28,51,19,98,2013
24491,"Exira, IA","Exira, IA",6,42,35,8,66,9,28,35,20,83,2013
24449,"Exira, IA","Adair, IA",8,26,20,5,49,0,12,28,14,54,2013
24460,"Exira, IA","Brayton, IA",10,13,18,3,36,2,12,22,7,41,2013
24465,"Exira, IA","Casey, IA",6,15,12,8,24,1,6,15,12,33,2013
24523,"Exira, IA","Manning, IA",3,14,9,4,18,4,2,20,4,26,2013
24501,"Exira, IA","Guthrie Center, IA",6,6,4,11,4,1,4,10,2,16,2013
24453,"Exira, IA","Anita, IA",3,9,3,4,10,1,1,11,3,15,2013
24455,"Exira, IA","Atlantic, IA",3,8,2,2,10,1,4,7,2,13,2013
24570,"Exira, IA","Wiota, IA",4,5,3,1,9,2,3,9,0,12,2013
24474,"Exira, IA","Coon Rapids, IA",2,4,3,6,1,2,2,3,4,9,2013
24542,"Exira, IA","Perry, IA",0,6,2,8,0,0,2,5,1,8,2013
24556,"Exira, IA","Stuart, IA",1,5,1,2,5,0,2,3,2,7,2013
24464,"Exira, IA","Carroll, IA",1,4,0,0,2,3,1,4,0,5,2013
24500,"Exira, IA","Greenfield, IA",0,5,0,1,4,0,0,3,2,5,2013
24457,"Exira, IA","Bayard, IA",0,3,2,2,3,0,2,2,1,5,2013
24472,"Exira, IA","Clive, IA",0,1,3,2,2,0,3,1,0,4,2013
24481,"Exira, IA","Defiance, IA",0,3,1,0,4,0,4,0,0,4,2013
24483,"Exira, IA","Des Moines, IA",1,3,0,1,1,2,1,1,2,4,2013
24451,"Exira, IA","Ames, IA",0,3,1,0,2,2,0,4,0,4,2013
24533,"Exira, IA","Newton, IA",0,2,1,1,1,1,1,0,2,3,2013
24469,"Exira, IA","Churdan, IA",2,0,1,1,0,2,0,1,2,3,2013
24563,"Exira, IA","Waukee, IA",0,2,1,0,1,2,0,2,1,3,2013
24519,"Exira, IA","Linden, IA",1,2,0,2,1,0,2,1,0,3,2013
24535,"Exira, IA","Orient, IA",1,1,1,1,1,1,1,1,1,3,2013
24540,"Exira, IA","Panora, IA",0,3,0,1,2,0,1,2,0,3,2013
24568,"Exira, IA","Windsor Heights, IA",0,2,1,0,3,0,0,3,0,3,2013
24557,"Exira, IA","Tennant, IA",0,2,1,2,1,0,1,1,1,3,2013
24479,"Exira, IA","De Soto, IA",0,3,0,2,0,1,0,2,1,3,2013
24480,"Exira, IA","Dedham, IA",1,2,0,3,0,0,0,1,2,3,2013
24569,"Exira, IA","Winterset, IA",0,2,1,3,0,0,0,2,1,3,2013
24503,"Exira, IA","Hancock, IA",0,1,1,0,0,2,0,0,2,2,2013
24545,"Exira, IA","Quimby, IA",0,1,1,0,0,2,1,1,0,2,2013
24496,"Exira, IA","Glenwood, IA",0,2,0,1,1,0,0,1,1,2,2013
24499,"Exira, IA","Gray, IA",1,1,0,0,2,0,0,1,1,2,2013
24534,"Exira, IA","Norwalk, IA",0,0,2,1,1,0,1,0,1,2,2013
24536,"Exira, IA","Osceola, IA",1,0,1,1,1,0,0,1,1,2,2013
24512,"Exira, IA","Jefferson, IA",0,1,1,1,1,0,0,0,2,2,2013
24531,"Exira, IA","Mondamin, IA",1,1,0,1,0,1,0,2,0,2,2013
24528,"Exira, IA","Maxwell, IA",0,0,2,1,0,1,1,1,0,2,2013
24527,"Exira, IA","Massena, IA",0,0,2,0,0,2,2,0,0,2,2013
24495,"Exira, IA","Garden Grove, IA",0,2,0,0,2,0,2,0,0,2,2013
24552,"Exira, IA","Sioux City, IA",0,2,0,1,0,1,1,1,0,2,2013
24524,"Exira, IA","Marshalltown, IA",0,2,0,2,0,0,0,1,1,2,2013
24551,"Exira, IA","Seymour, IA",0,2,0,0,0,2,0,0,2,2,2013
24470,"Exira, IA","Clinton, IA",0,1,1,0,1,1,2,0,0,2,2013
24475,"Exira, IA","Council Bluffs, IA",1,1,0,0,1,1,0,1,1,2,2013
24525,"Exira, IA","Marysville, IA",0,0,2,1,1,0,0,1,1,2,2013
24565,"Exira, IA","West Des Moines, IA",0,2,0,1,1,0,1,1,0,2,2013
24454,"Exira, IA","Arcadia, IA",1,1,0,1,1,0,1,0,1,2,2013
24560,"Exira, IA","Urbandale, IA",0,1,1,1,1,0,0,0,2,2,2013
24566,"Exira, IA","Wheatland, IA",0,1,0,0,1,0,0,1,0,1,2013
24567,"Exira, IA","Willey, IA",0,0,1,0,0,1,1,0,0,1,2013
24526,"Exira, IA","Mason City, IA",0,0,1,0,1,0,0,0,1,1,2013
24529,"Exira, IA","Melcher-Dallas, IA",0,0,1,1,0,0,1,0,0,1,2013
24530,"Exira, IA","Missouri Valley, IA",0,1,0,0,1,0,0,1,0,1,2013
24564,"Exira, IA","Webster City, IA",0,0,1,0,1,0,0,1,0,1,2013
24532,"Exira, IA","Mount Ayr, IA",1,0,0,0,1,0,0,1,0,1,2013
24562,"Exira, IA","Walnut, IA",0,1,0,0,1,0,0,1,0,1,2013
24561,"Exira, IA","Van Meter, IA",0,1,0,1,0,0,0,1,0,1,2013
24548,"Exira, IA","Rock Rapids, IA",1,0,0,0,0,1,1,0,0,1,2013
24537,"Exira, IA","Oskaloosa, IA",0,1,0,0,0,1,0,0,1,1,2013
24547,"Exira, IA","Redfield, IA",0,1,0,0,1,0,0,1,0,1,2013
24539,"Exira, IA","Pacific Junction, IA",0,0,1,0,1,0,1,0,0,1,2013
24559,"Exira, IA","University Park, IA",0,1,0,0,0,1,0,1,0,1,2013
24541,"Exira, IA","Pella, IA",0,1,0,1,0,0,0,0,1,1,2013
24558,"Exira, IA","Underwood, IA",0,1,0,1,0,0,0,0,1,1,2013
24555,"Exira, IA","Stanton, IA",0,1,0,0,1,0,0,0,1,1,2013
24543,"Exira, IA","Pleasanton, IA",0,1,0,0,1,0,1,0,0,1,2013
24554,"Exira, IA","St. Marys, IA",0,1,0,1,0,0,0,0,1,1,2013
24553,"Exira, IA","Sloan, IA",0,1,0,1,0,0,0,0,1,1,2013
24544,"Exira, IA","Polk City, IA",0,1,0,0,0,1,1,0,0,1,2013
24550,"Exira, IA","Schaller, IA",0,1,0,0,0,1,1,0,0,1,2013
24549,"Exira, IA","Sac City, IA",0,0,1,0,0,1,0,1,0,1,2013
24546,"Exira, IA","Red Oak, IA",1,0,0,1,0,0,1,0,0,1,2013
24538,"Exira, IA","Ottumwa, IA",1,0,0,0,1,0,1,0,0,1,2013
24510,"Exira, IA","Iowa City, IA",0,1,0,1,0,0,0,0,1,1,2013
24522,"Exira, IA","Magnolia, IA",1,0,0,0,0,1,0,1,0,1,2013
24473,"Exira, IA","Colo, IA",0,1,0,1,0,0,0,1,0,1,2013
24488,"Exira, IA","East Peru, IA",0,1,0,1,0,0,0,0,1,1,2013
24487,"Exira, IA","Early, IA",0,0,1,1,0,0,0,1,0,1,2013
24486,"Exira, IA","Eagle Grove, IA",0,1,0,1,0,0,0,1,0,1,2013
24485,"Exira, IA","Dunlap, IA",0,0,1,0,0,1,0,0,1,1,2013
24484,"Exira, IA","Dougherty, IA",0,1,0,0,1,0,0,0,1,1,2013
24482,"Exira, IA","Denison, IA",1,0,0,1,0,0,1,0,0,1,2013
24478,"Exira, IA","Dallas Center, IA",0,0,1,0,1,0,0,0,1,1,2013
24477,"Exira, IA","Cromwell, IA",0,0,1,0,1,0,1,0,0,1,2013
24476,"Exira, IA","Creston, IA",0,1,0,0,0,1,0,1,0,1,2013
24471,"Exira, IA","Clio, IA",0,0,1,0,1,0,1,0,0,1,2013
24521,"Exira, IA","Madrid, IA",0,1,0,0,0,1,0,1,0,1,2013
24468,"Exira, IA","Chariton, IA",0,0,1,0,0,1,1,0,0,1,2013
24467,"Exira, IA","Cedar Rapids, IA",0,1,0,0,1,0,0,1,0,1,2013
24466,"Exira, IA","Castana, IA",0,0,1,0,0,1,0,0,1,1,2013
24463,"Exira, IA","Carlisle, IA",0,0,1,1,0,0,0,1,0,1,2013
24462,"Exira, IA","Cambridge, IA",0,1,0,0,0,1,1,0,0,1,2013
24461,"Exira, IA","Buck Grove, IA",0,0,1,0,0,1,0,0,1,1,2013
24459,"Exira, IA","Boone, IA",0,0,1,0,1,0,0,0,1,1,2013
24458,"Exira, IA","Bennett, IA",0,1,0,1,0,0,0,1,0,1,2013
24452,"Exira, IA","Anamosa, IA",0,1,0,1,0,0,0,0,1,1,2013
24489,"Exira, IA","Eddyville, IA",0,1,0,0,1,0,0,1,0,1,2013
24490,"Exira, IA","Elk Horn, IA",0,1,0,0,1,0,1,0,0,1,2013
24492,"Exira, IA","Fairfax, IA",1,0,0,0,0,1,0,1,0,1,2013
24493,"Exira, IA","Fairfield, IA",0,1,0,0,0,1,0,0,1,1,2013
