,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
28951,"Granger, IA","Urbandale, IA",22,40,3,8,43,14,28,20,17,65,2013
28863,"Granger, IA","Des Moines, IA",18,35,10,15,30,18,10,36,17,63,2013
28884,"Granger, IA","Grimes, IA",21,28,4,3,46,4,35,6,12,53,2013
28956,"Granger, IA","Waukee, IA",12,19,7,11,15,12,11,16,11,38,2013
28850,"Granger, IA","Clive, IA",13,17,5,5,24,6,10,9,16,35,2013
28881,"Granger, IA","Granger, IA",4,20,5,6,14,9,11,10,8,29,2013
28832,"Granger, IA","Ankeny, IA",8,16,5,4,19,6,4,11,14,29,2013
28919,"Granger, IA","Norwalk, IA",6,13,4,3,10,10,3,7,13,23,2013
28895,"Granger, IA","Johnston, IA",2,19,0,1,15,5,12,4,5,21,2013
28965,"Granger, IA","Windsor Heights, IA",5,13,3,4,13,4,7,7,7,21,2013
28859,"Granger, IA","Dallas Center, IA",5,9,3,5,4,8,4,8,5,17,2013
28929,"Granger, IA","Perry, IA",5,10,1,2,6,8,5,7,4,16,2013
28930,"Granger, IA","Pleasant Hill, IA",2,10,2,5,3,6,3,5,6,14,2013
28959,"Granger, IA","West Des Moines, IA",5,7,1,5,5,3,3,7,3,13,2013
28931,"Granger, IA","Polk City, IA",7,4,0,1,7,3,6,2,3,11,2013
28910,"Granger, IA","Minburn, IA",4,6,1,4,5,2,2,2,7,11,2013
28967,"Granger, IA","Woodward, IA",0,8,1,3,4,2,2,3,4,9,2013
28830,"Granger, IA","Altoona, IA",3,3,2,2,2,4,2,5,1,8,2013
28901,"Granger, IA","Luther, IA",1,7,0,3,5,0,0,4,4,8,2013
28903,"Granger, IA","Madrid, IA",2,6,0,2,4,2,1,3,4,8,2013
28862,"Granger, IA","De Soto, IA",1,5,1,2,4,1,2,2,3,7,2013
28838,"Granger, IA","Boone, IA",2,5,0,3,1,3,1,2,4,7,2013
28831,"Granger, IA","Ames, IA",2,4,1,0,4,3,0,4,3,7,2013
28966,"Granger, IA","Winterset, IA",1,4,1,2,2,2,1,3,2,6,2013
28841,"Granger, IA","Carlisle, IA",2,2,1,2,2,1,1,3,1,5,2013
28854,"Granger, IA","Council Bluffs, IA",1,3,1,0,3,2,1,4,0,5,2013
28891,"Granger, IA","Indianola, IA",2,2,0,1,2,1,1,2,1,4,2013
28945,"Granger, IA","St. Marys, IA",1,2,0,1,2,0,2,0,1,3,2013
28868,"Granger, IA","East Peru, IA",1,2,0,1,1,1,0,2,1,3,2013
28911,"Granger, IA","Mitchellville, IA",1,2,0,0,2,1,0,3,0,3,2013
28886,"Granger, IA","Guthrie Center, IA",1,1,1,1,1,1,1,1,1,3,2013
28927,"Granger, IA","Patterson, IA",0,3,0,0,0,3,2,0,1,3,2013
