,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
39553,"Lawler, IA","New Hampton, IA",7,13,5,25,0,0,4,9,12,25,2013
39527,"Lawler, IA","Cresco, IA",5,13,1,19,0,0,1,9,9,19,2013
39547,"Lawler, IA","Lawler, IA",8,6,4,18,0,0,2,8,8,18,2013
39517,"Lawler, IA","Alta Vista, IA",7,6,4,14,2,1,7,9,1,17,2013
39526,"Lawler, IA","Colwell, IA",6,6,4,14,0,2,5,7,4,16,2013
39538,"Lawler, IA","Fredericksburg, IA",5,7,3,13,1,1,2,10,3,15,2013
39543,"Lawler, IA","Ionia, IA",3,6,1,10,0,0,1,9,0,10,2013
39558,"Lawler, IA","Protivin, IA",3,2,3,8,0,0,2,5,1,8,2013
39529,"Lawler, IA","Decorah, IA",0,8,0,8,0,0,0,5,3,8,2013
39548,"Lawler, IA","Lime Springs, IA",3,3,2,8,0,0,2,4,2,8,2013
39524,"Lawler, IA","Charles City, IA",5,1,2,8,0,0,1,7,0,8,2013
39537,"Lawler, IA","Fort Atkinson, IA",1,1,2,3,1,0,0,3,1,4,2013
39552,"Lawler, IA","Nashua, IA",1,2,0,2,1,0,1,0,2,3,2013
39531,"Lawler, IA","Des Moines, IA",1,2,0,2,1,0,1,2,0,3,2013
39559,"Lawler, IA","Randalia, IA",2,0,0,2,0,0,1,0,1,2,2013
39519,"Lawler, IA","Anamosa, IA",0,2,0,2,0,0,0,2,0,2,2013
39555,"Lawler, IA","Osage, IA",2,0,0,2,0,0,0,1,1,2,2013
39556,"Lawler, IA","Parkersburg, IA",2,0,0,2,0,0,0,0,2,2,2013
39525,"Lawler, IA","Chester, IA",1,0,1,2,0,0,0,2,0,2,2013
39560,"Lawler, IA","Ridgeway, IA",0,0,2,2,0,0,0,2,0,2,2013
39562,"Lawler, IA","St. Lucas, IA",2,0,0,2,0,0,1,0,1,2,2013
39565,"Lawler, IA","Titonka, IA",0,1,0,1,0,0,0,1,0,1,2013
39557,"Lawler, IA","Pleasant Hill, IA",1,0,0,0,1,0,0,1,0,1,2013
39566,"Lawler, IA","Toledo, IA",1,0,0,1,0,0,0,1,0,1,2013
39549,"Lawler, IA","Mason City, IA",0,1,0,1,0,0,0,1,0,1,2013
39554,"Lawler, IA","Orange City, IA",0,1,0,1,0,0,0,0,1,1,2013
39567,"Lawler, IA","Waterloo, IA",0,0,1,1,0,0,0,0,1,1,2013
39564,"Lawler, IA","Swea City, IA",1,0,0,1,0,0,0,1,0,1,2013
39563,"Lawler, IA","Sumner, IA",1,0,0,1,0,0,0,1,0,1,2013
39551,"Lawler, IA","Monticello, IA",0,1,0,0,0,1,0,1,0,1,2013
39550,"Lawler, IA","McIntire, IA",1,0,0,1,0,0,0,0,1,1,2013
39568,"Lawler, IA","Waucoma, IA",1,0,0,1,0,0,1,0,0,1,2013
39561,"Lawler, IA","Spirit Lake, IA",0,1,0,1,0,0,1,0,0,1,2013
39516,"Lawler, IA","Ackworth, IA",0,1,0,1,0,0,0,1,0,1,2013
39546,"Lawler, IA","Johnston, IA",1,0,0,0,1,0,0,1,0,1,2013
39545,"Lawler, IA","Jesup, IA",1,0,0,1,0,0,0,1,0,1,2013
39518,"Lawler, IA","Ames, IA",0,1,0,1,0,0,0,1,0,1,2013
39520,"Lawler, IA","Aredale, IA",0,1,0,1,0,0,0,0,1,1,2013
39521,"Lawler, IA","Ashton, IA",0,1,0,1,0,0,1,0,0,1,2013
39522,"Lawler, IA","Buffalo Center, IA",1,0,0,0,1,0,0,1,0,1,2013
39523,"Lawler, IA","Castalia, IA",1,0,0,1,0,0,0,1,0,1,2013
39528,"Lawler, IA","Crystal Lake, IA",0,1,0,1,0,0,0,1,0,1,2013
39530,"Lawler, IA","Denver, IA",0,1,0,1,0,0,0,0,1,1,2013
39532,"Lawler, IA","Elberon, IA",0,1,0,0,1,0,0,0,1,1,2013
39533,"Lawler, IA","Eldora, IA",0,1,0,0,1,0,0,1,0,1,2013
39534,"Lawler, IA","Elma, IA",0,1,0,1,0,0,0,1,0,1,2013
39535,"Lawler, IA","Fayette, IA",1,0,0,1,0,0,0,0,1,1,2013
39536,"Lawler, IA","Ferguson, IA",1,0,0,1,0,0,0,1,0,1,2013
39539,"Lawler, IA","Geneva, IA",0,1,0,1,0,0,0,0,1,1,2013
39540,"Lawler, IA","Hampton, IA",0,1,0,1,0,0,1,0,0,1,2013
39541,"Lawler, IA","Hawkeye, IA",1,0,0,1,0,0,1,0,0,1,2013
39542,"Lawler, IA","Hazleton, IA",0,1,0,1,0,0,0,0,1,1,2013
39544,"Lawler, IA","Iowa Falls, IA",0,1,0,1,0,0,0,1,0,1,2013
39569,"Lawler, IA","West Union, IA",0,1,0,1,0,0,0,0,1,1,2013
