,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
44783,"Martelle, IA","Morley, IA",16,19,9,28,14,2,10,19,15,44,2013
44740,"Martelle, IA","Anamosa, IA",6,27,8,22,17,2,8,19,14,41,2013
44780,"Martelle, IA","Martelle, IA",14,16,10,24,9,7,14,10,16,40,2013
44782,"Martelle, IA","Monticello, IA",11,15,6,26,5,1,5,16,11,32,2013
44746,"Martelle, IA","Cedar Rapids, IA",13,13,1,18,4,5,6,12,9,27,2013
44800,"Martelle, IA","Springville, IA",1,7,4,6,3,3,2,5,5,12,2013
44776,"Martelle, IA","Lisbon, IA",4,8,0,7,4,1,2,6,4,12,2013
44766,"Martelle, IA","Hiawatha, IA",0,10,1,11,0,0,2,2,7,11,2013
44747,"Martelle, IA","Center Junction, IA",4,3,2,6,3,0,3,1,5,9,2013
44797,"Martelle, IA","Robins, IA",2,4,2,8,0,0,2,1,5,8,2013
44811,"Martelle, IA","Wyoming, IA",4,3,0,5,2,0,1,4,2,7,2013
44805,"Martelle, IA","Urbana, IA",0,7,0,7,0,0,1,1,5,7,2013
44760,"Martelle, IA","Fairfax, IA",2,4,0,5,0,1,1,2,3,6,2013
44784,"Martelle, IA","Mount Vernon, IA",2,1,3,3,0,3,1,3,2,6,2013
44752,"Martelle, IA","Coggon, IA",1,4,0,4,0,1,2,3,0,5,2013
44754,"Martelle, IA","Dubuque, IA",1,4,0,1,1,3,2,3,0,5,2013
44756,"Martelle, IA","Dysart, IA",0,3,0,2,0,1,1,2,0,3,2013
44794,"Martelle, IA","Prairieburg, IA",1,2,0,2,1,0,1,1,1,3,2013
44749,"Martelle, IA","Central City, IA",2,1,0,1,1,1,2,0,1,3,2013
44748,"Martelle, IA","Center Point, IA",1,2,0,1,1,1,3,0,0,3,2013
44806,"Martelle, IA","Urbandale, IA",1,0,2,0,1,2,2,1,0,3,2013
44771,"Martelle, IA","Iowa City, IA",0,3,0,0,2,1,1,1,1,3,2013
44787,"Martelle, IA","Oelwein, IA",0,1,1,0,0,2,0,2,0,2,2013
44791,"Martelle, IA","Palo, IA",0,2,0,2,0,0,1,0,1,2,2013
44769,"Martelle, IA","Independence, IA",1,1,0,1,0,1,0,1,1,2,2013
44781,"Martelle, IA","Mason City, IA",0,1,1,0,0,2,0,1,1,2,2013
44803,"Martelle, IA","Tipton, IA",2,0,0,0,1,1,1,1,0,2,2013
44807,"Martelle, IA","Van Horne, IA",0,2,0,2,0,0,0,0,2,2,2013
44810,"Martelle, IA","Wilton, IA",0,0,2,1,1,0,1,0,1,2,2013
44739,"Martelle, IA","Altoona, IA",1,1,0,0,1,1,0,2,0,2,2013
44744,"Martelle, IA","Burlington, IA",0,2,0,2,0,0,0,1,1,2,2013
44745,"Martelle, IA","Cedar Falls, IA",1,1,0,0,1,1,1,1,0,2,2013
44755,"Martelle, IA","Dyersville, IA",1,1,0,1,1,0,0,1,1,2,2013
44768,"Martelle, IA","Hopkinton, IA",0,1,0,0,0,1,0,0,1,1,2013
44750,"Martelle, IA","Clarence, IA",0,1,0,0,1,0,0,0,1,1,2013
44793,"Martelle, IA","Postville, IA",1,0,0,0,1,0,1,0,0,1,2013
44753,"Martelle, IA","Des Moines, IA",0,0,1,0,0,1,1,0,0,1,2013
44795,"Martelle, IA","Raymond, IA",0,0,1,0,0,1,0,0,1,1,2013
44796,"Martelle, IA","Riverside, IA",0,0,1,0,0,1,0,1,0,1,2013
44751,"Martelle, IA","Clinton, IA",1,0,0,1,0,0,0,1,0,1,2013
44798,"Martelle, IA","Sageville, IA",0,1,0,1,0,0,0,1,0,1,2013
44799,"Martelle, IA","Spring Hill, IA",1,0,0,0,0,1,0,1,0,1,2013
44802,"Martelle, IA","Swisher, IA",0,1,0,0,1,0,1,0,0,1,2013
44801,"Martelle, IA","Sumner, IA",0,1,0,0,0,1,0,1,0,1,2013
44804,"Martelle, IA","University Heights, IA",0,0,1,1,0,0,0,0,1,1,2013
44743,"Martelle, IA","Brighton, IA",0,0,1,0,0,1,1,0,0,1,2013
44742,"Martelle, IA","Bertram, IA",0,0,1,1,0,0,0,0,1,1,2013
44808,"Martelle, IA","West Branch, IA",0,0,1,1,0,0,0,0,1,1,2013
44809,"Martelle, IA","West Burlington, IA",0,0,1,0,0,1,1,0,0,1,2013
44741,"Martelle, IA","Ankeny, IA",1,0,0,0,1,0,1,0,0,1,2013
44792,"Martelle, IA","Peosta, IA",0,0,1,1,0,0,0,1,0,1,2013
44790,"Martelle, IA","Oxford Junction, IA",0,1,0,1,0,0,0,0,1,1,2013
44770,"Martelle, IA","Indianola, IA",0,0,1,0,1,0,1,0,0,1,2013
44779,"Martelle, IA","Marshalltown, IA",1,0,0,0,0,1,1,0,0,1,2013
44767,"Martelle, IA","Hills, IA",0,1,0,0,1,0,0,1,0,1,2013
44772,"Martelle, IA","Janesville, IA",1,0,0,0,0,1,1,0,0,1,2013
44773,"Martelle, IA","Kalona, IA",1,0,0,0,0,1,1,0,0,1,2013
44774,"Martelle, IA","Keokuk, IA",0,1,0,1,0,0,0,0,1,1,2013
44765,"Martelle, IA","Guttenberg, IA",0,1,0,1,0,0,0,0,1,1,2013
44764,"Martelle, IA","Greeley, IA",0,1,0,0,0,1,0,1,0,1,2013
44777,"Martelle, IA","Luana, IA",0,0,1,0,0,1,0,1,0,1,2013
44778,"Martelle, IA","Marion, IA",0,1,0,1,0,0,0,0,1,1,2013
44763,"Martelle, IA","Garwin, IA",0,1,0,0,0,1,0,1,0,1,2013
44789,"Martelle, IA","Ottumwa, IA",0,1,0,0,1,0,0,1,0,1,2013
44762,"Martelle, IA","Forest City, IA",1,0,0,1,0,0,0,0,1,1,2013
44761,"Martelle, IA","Fayette, IA",0,1,0,0,1,0,1,0,0,1,2013
44759,"Martelle, IA","Ely, IA",1,0,0,0,1,0,1,0,0,1,2013
44758,"Martelle, IA","Elgin, IA",1,0,0,0,0,1,1,0,0,1,2013
44785,"Martelle, IA","Muscatine, IA",0,1,0,0,0,1,0,0,1,1,2013
44786,"Martelle, IA","North English, IA",0,1,0,0,0,1,0,1,0,1,2013
44757,"Martelle, IA","Edgewood, IA",1,0,0,0,1,0,1,0,0,1,2013
44788,"Martelle, IA","Osceola, IA",0,1,0,0,1,0,0,1,0,1,2013
44775,"Martelle, IA","Lime Springs, IA",0,1,0,0,0,1,0,1,0,1,2013
