,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
50204,"New Market, IA","Clarinda, IA",1,6,1,3,0,5,2,6,0,8,2013
50202,"New Market, IA","Blanchard, IA",1,2,4,3,2,2,4,1,2,7,2013
50210,"New Market, IA","New Market, IA",3,1,2,2,2,2,2,3,1,6,2013
50203,"New Market, IA","Braddyville, IA",1,2,2,2,1,2,2,3,0,5,2013
50205,"New Market, IA","Coburg, IA",1,1,0,1,0,1,0,2,0,2,2013
50213,"New Market, IA","Red Oak, IA",1,1,0,2,0,0,0,2,0,2,2013
50201,"New Market, IA","Bedford, IA",0,1,0,1,0,0,0,1,0,1,2013
50206,"New Market, IA","Creston, IA",1,0,0,1,0,0,0,1,0,1,2013
50207,"New Market, IA","Essex, IA",0,1,0,0,0,1,0,1,0,1,2013
50208,"New Market, IA","Greenfield, IA",1,0,0,1,0,0,0,1,0,1,2013
50209,"New Market, IA","Hamburg, IA",0,0,1,0,0,1,0,0,1,1,2013
50211,"New Market, IA","Nodaway, IA",1,0,0,0,0,1,0,1,0,1,2013
50212,"New Market, IA","Orient, IA",0,0,1,1,0,0,0,1,0,1,2013
50214,"New Market, IA","Shenandoah, IA",0,1,0,1,0,0,1,0,0,1,2013
