,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
59880,"Ridgeway, IA","Fort Atkinson, IA",5,17,6,7,10,11,7,11,10,28,2013
59874,"Ridgeway, IA","Decorah, IA",3,15,10,10,7,11,5,17,6,28,2013
59899,"Ridgeway, IA","Protivin, IA",2,7,5,5,5,4,3,8,3,14,2013
59901,"Ridgeway, IA","Ridgeway, IA",1,5,5,4,4,3,3,6,2,11,2013
59905,"Ridgeway, IA","St. Lucas, IA",1,6,1,4,1,3,2,2,4,8,2013
59900,"Ridgeway, IA","Randalia, IA",0,5,1,1,2,3,2,0,4,6,2013
59867,"Ridgeway, IA","Castalia, IA",1,2,3,2,2,2,1,4,1,6,2013
59912,"Ridgeway, IA","West Union, IA",2,3,0,0,2,3,0,3,2,5,2013
59890,"Ridgeway, IA","Luana, IA",2,1,1,0,2,2,2,2,0,4,2013
59884,"Ridgeway, IA","Hawkeye, IA",1,1,2,0,1,3,3,0,1,4,2013
59910,"Ridgeway, IA","Waukon, IA",1,1,1,0,1,2,1,0,2,3,2013
59909,"Ridgeway, IA","Waucoma, IA",0,2,1,0,1,2,1,2,0,3,2013
59869,"Ridgeway, IA","Cedar Rapids, IA",0,1,2,1,2,0,1,2,0,3,2013
59897,"Ridgeway, IA","New Hampton, IA",1,1,1,1,0,2,0,2,1,3,2013
59883,"Ridgeway, IA","Harpers Ferry, IA",0,1,1,0,0,2,1,0,1,2,2013
59872,"Ridgeway, IA","Cresco, IA",1,1,0,0,2,0,1,1,0,2,2013
59908,"Ridgeway, IA","Wadena, IA",1,0,1,1,1,0,1,0,1,2,2013
59862,"Ridgeway, IA","Allison, IA",1,0,0,0,0,1,0,1,0,1,2013
59898,"Ridgeway, IA","Parkersburg, IA",0,1,0,0,0,1,0,0,1,1,2013
59896,"Ridgeway, IA","New Albin, IA",0,1,0,1,0,0,0,0,1,1,2013
59894,"Ridgeway, IA","Monona, IA",0,1,0,1,0,0,0,1,0,1,2013
59895,"Ridgeway, IA","Nashua, IA",0,1,0,0,0,1,1,0,0,1,2013
59903,"Ridgeway, IA","Sanborn, IA",0,1,0,0,0,1,0,1,0,1,2013
59902,"Ridgeway, IA","Riverside, IA",1,0,0,0,0,1,1,0,0,1,2013
59892,"Ridgeway, IA","Marquette, IA",0,1,0,0,0,1,0,0,1,1,2013
59904,"Ridgeway, IA","Sioux City, IA",0,0,1,0,0,1,0,1,0,1,2013
59906,"Ridgeway, IA","Tripoli, IA",0,1,0,0,0,1,0,1,0,1,2013
59907,"Ridgeway, IA","Urbana, IA",0,0,1,1,0,0,0,1,0,1,2013
59911,"Ridgeway, IA","Waverly, IA",0,1,0,0,1,0,0,1,0,1,2013
59893,"Ridgeway, IA","Marshalltown, IA",0,0,1,1,0,0,1,0,0,1,2013
59888,"Ridgeway, IA","Lime Springs, IA",1,0,0,0,1,0,1,0,0,1,2013
59891,"Ridgeway, IA","Maquoketa, IA",1,0,0,0,1,0,1,0,0,1,2013
59876,"Ridgeway, IA","Elgin, IA",0,1,0,1,0,0,0,0,1,1,2013
59864,"Ridgeway, IA","Balltown, IA",0,0,1,0,1,0,0,1,0,1,2013
59865,"Ridgeway, IA","Beaman, IA",0,1,0,0,1,0,1,0,0,1,2013
59866,"Ridgeway, IA","Britt, IA",0,1,0,0,1,0,0,1,0,1,2013
59868,"Ridgeway, IA","Cedar Falls, IA",0,1,0,0,1,0,0,0,1,1,2013
59870,"Ridgeway, IA","Clinton, IA",0,1,0,0,1,0,1,0,0,1,2013
59871,"Ridgeway, IA","Coralville, IA",1,0,0,0,1,0,0,1,0,1,2013
59873,"Ridgeway, IA","Davenport, IA",1,0,0,0,1,0,0,1,0,1,2013
59875,"Ridgeway, IA","Dubuque, IA",0,0,1,0,1,0,0,1,0,1,2013
59877,"Ridgeway, IA","Farmersburg, IA",0,1,0,0,0,1,0,1,0,1,2013
59889,"Ridgeway, IA","Lone Tree, IA",1,0,0,0,1,0,0,1,0,1,2013
59878,"Ridgeway, IA","Fayette, IA",1,0,0,0,0,1,1,0,0,1,2013
59879,"Ridgeway, IA","Floyd, IA",0,1,0,0,0,1,1,0,0,1,2013
59881,"Ridgeway, IA","Fredericksburg, IA",0,0,1,0,0,1,0,1,0,1,2013
59882,"Ridgeway, IA","Grand Mound, IA",0,1,0,0,1,0,1,0,0,1,2013
59885,"Ridgeway, IA","Independence, IA",0,0,1,0,0,1,0,0,1,1,2013
59886,"Ridgeway, IA","Indianola, IA",0,1,0,0,0,1,0,0,1,1,2013
59887,"Ridgeway, IA","Lansing, IA",0,0,1,1,0,0,0,1,0,1,2013
59863,"Ridgeway, IA","Anamosa, IA",0,0,1,1,0,0,0,1,0,1,2013
59913,"Ridgeway, IA","Winthrop, IA",0,1,0,0,1,0,1,0,0,1,2013
