,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
61242,"Rodney, IA","Sloan, IA",14,32,24,0,65,5,32,22,16,70,2013
61227,"Rodney, IA","Onawa, IA",22,24,20,2,60,4,25,34,7,66,2013
61237,"Rodney, IA","Rodney, IA",12,26,12,1,45,4,18,24,8,50,2013
61241,"Rodney, IA","Sioux City, IA",1,11,4,0,16,0,7,3,6,16,2013
61204,"Rodney, IA","Bronson, IA",0,4,4,0,8,0,2,4,2,8,2013
61205,"Rodney, IA","Castana, IA",1,4,1,1,4,1,4,2,0,6,2013
61198,"Rodney, IA","Anthon, IA",1,2,2,0,3,2,1,1,3,5,2013
61210,"Rodney, IA","Danbury, IA",0,4,1,0,3,2,1,2,2,5,2013
61221,"Rodney, IA","Le Mars, IA",2,1,0,0,3,0,2,1,0,3,2013
61244,"Rodney, IA","Spencer, IA",1,2,0,1,2,0,0,2,1,3,2013
61243,"Rodney, IA","Soldier, IA",1,1,1,0,2,1,0,2,1,3,2013
61213,"Rodney, IA","Ely, IA",0,1,2,0,2,1,1,0,2,3,2013
61222,"Rodney, IA","Mapleton, IA",1,1,1,0,3,0,1,2,0,3,2013
61219,"Rodney, IA","Ladora, IA",1,1,0,0,2,0,1,0,1,2,2013
61195,"Rodney, IA","Alton, IA",0,2,0,0,2,0,0,2,0,2,2013
61231,"Rodney, IA","Oyens, IA",0,2,0,0,2,0,0,2,0,2,2013
61238,"Rodney, IA","Sergeant Bluff, IA",1,1,0,0,2,0,1,1,0,2,2013
61218,"Rodney, IA","Kingsley, IA",0,1,1,0,2,0,0,2,0,2,2013
61223,"Rodney, IA","Missouri Valley, IA",0,0,2,0,2,0,0,2,0,2,2013
61202,"Rodney, IA","Bertram, IA",0,1,1,0,2,0,0,1,1,2,2013
61209,"Rodney, IA","Council Bluffs, IA",1,1,0,0,2,0,1,1,0,2,2013
61201,"Rodney, IA","Battle Creek, IA",2,0,0,0,2,0,2,0,0,2,2013
61214,"Rodney, IA","Emmetsburg, IA",0,1,0,0,1,0,0,1,0,1,2013
61200,"Rodney, IA","Atlantic, IA",0,0,1,0,1,0,0,0,1,1,2013
61235,"Rodney, IA","Rock Rapids, IA",0,1,0,0,1,0,0,1,0,1,2013
61236,"Rodney, IA","Rock Valley, IA",0,1,0,0,1,0,0,1,0,1,2013
61203,"Rodney, IA","Bettendorf, IA",0,1,0,0,1,0,1,0,0,1,2013
61239,"Rodney, IA","Sheldon, IA",0,0,1,0,1,0,1,0,0,1,2013
61240,"Rodney, IA","Sigourney, IA",0,1,0,0,1,0,0,1,0,1,2013
61199,"Rodney, IA","Arthur, IA",0,1,0,1,0,0,1,0,0,1,2013
61233,"Rodney, IA","Portsmouth, IA",1,0,0,0,1,0,0,1,0,1,2013
61197,"Rodney, IA","Anamosa, IA",1,0,0,0,1,0,1,0,0,1,2013
61245,"Rodney, IA","Spirit Lake, IA",0,1,0,0,1,0,0,1,0,1,2013
61246,"Rodney, IA","Storm Lake, IA",0,1,0,0,1,0,1,0,0,1,2013
61247,"Rodney, IA","Superior, IA",0,1,0,0,1,0,0,1,0,1,2013
61248,"Rodney, IA","Underwood, IA",0,1,0,0,1,0,1,0,0,1,2013
61249,"Rodney, IA","Wall Lake, IA",0,1,0,0,0,1,0,0,1,1,2013
61234,"Rodney, IA","Randolph, IA",0,1,0,0,1,0,0,0,1,1,2013
61232,"Rodney, IA","Pierson, IA",0,0,1,0,1,0,0,1,0,1,2013
61215,"Rodney, IA","Hinton, IA",0,1,0,0,1,0,0,1,0,1,2013
61196,"Rodney, IA","Ames, IA",0,1,0,0,0,1,0,1,0,1,2013
61216,"Rodney, IA","Iowa City, IA",0,1,0,0,1,0,0,0,1,1,2013
61217,"Rodney, IA","Irwin, IA",0,0,1,0,1,0,0,0,1,1,2013
61212,"Rodney, IA","Donnellson, IA",0,0,1,0,1,0,1,0,0,1,2013
61211,"Rodney, IA","Denison, IA",0,1,0,0,1,0,1,0,0,1,2013
61220,"Rodney, IA","Lake View, IA",0,0,1,1,0,0,1,0,0,1,2013
61208,"Rodney, IA","Clinton, IA",0,1,0,0,1,0,1,0,0,1,2013
61224,"Rodney, IA","Moorhead, IA",1,0,0,1,0,0,0,1,0,1,2013
61206,"Rodney, IA","Cedar Rapids, IA",0,1,0,0,0,1,0,0,1,1,2013
61225,"Rodney, IA","Morley, IA",0,1,0,0,1,0,0,0,1,1,2013
61226,"Rodney, IA","Oakland, IA",0,1,0,0,1,0,0,1,0,1,2013
61207,"Rodney, IA","Center Point, IA",0,0,1,0,1,0,1,0,0,1,2013
61228,"Rodney, IA","Orange City, IA",0,1,0,0,1,0,0,1,0,1,2013
61229,"Rodney, IA","Orient, IA",0,1,0,0,1,0,1,0,0,1,2013
61230,"Rodney, IA","Osceola, IA",0,1,0,0,1,0,1,0,0,1,2013
61250,"Rodney, IA","Westfield, IA",0,1,0,0,1,0,0,1,0,1,2013
