,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
9342,"Brooklyn, IA","Grinnell, IA",24,50,17,23,64,4,23,52,16,91,2014
9307,"Brooklyn, IA","Brooklyn, IA",14,42,32,44,37,7,20,37,31,88,2014
9365,"Brooklyn, IA","Malcom, IA",6,34,34,6,52,16,26,33,15,74,2014
9368,"Brooklyn, IA","Marengo, IA",8,21,9,29,3,6,7,13,18,38,2014
9373,"Brooklyn, IA","Montezuma, IA",4,24,2,8,13,9,1,18,11,30,2014
9415,"Brooklyn, IA","Victor, IA",1,18,8,18,7,2,2,10,15,27,2014
9312,"Brooklyn, IA","Cedar Rapids, IA",8,13,4,2,20,3,14,7,4,25,2014
9341,"Brooklyn, IA","Gilman, IA",9,8,3,18,2,0,3,9,8,20,2014
9324,"Brooklyn, IA","Des Moines, IA",1,10,8,2,15,2,3,6,10,19,2014
9351,"Brooklyn, IA","Iowa City, IA",1,13,3,0,12,5,1,5,11,17,2014
9294,"Brooklyn, IA","Ames, IA",5,9,2,8,8,0,2,3,11,16,2014
9420,"Brooklyn, IA","Waterloo, IA",7,7,1,2,8,5,6,2,7,15,2014
9369,"Brooklyn, IA","Marshalltown, IA",2,9,0,5,3,3,0,3,8,11,2014
9381,"Brooklyn, IA","Newton, IA",0,9,2,6,4,1,0,7,4,11,2014
9364,"Brooklyn, IA","Lynnville, IA",3,7,1,2,9,0,2,3,6,11,2014
9408,"Brooklyn, IA","Tama, IA",0,5,6,1,6,4,3,4,4,11,2014
9311,"Brooklyn, IA","Cedar Falls, IA",3,4,2,0,8,1,4,0,5,9,2014
9382,"Brooklyn, IA","North English, IA",0,5,2,0,6,1,1,2,4,7,2014
9317,"Brooklyn, IA","Clive, IA",1,4,1,0,4,2,0,1,5,6,2014
9426,"Brooklyn, IA","Williamsburg, IA",0,3,3,2,0,4,3,2,1,6,2014
9344,"Brooklyn, IA","Guernsey, IA",0,6,0,4,0,2,0,4,2,6,2014
9410,"Brooklyn, IA","Toledo, IA",0,2,3,0,5,0,0,3,2,5,2014
9293,"Brooklyn, IA","Altoona, IA",2,2,0,0,4,0,0,4,0,4,2014
9348,"Brooklyn, IA","Hiawatha, IA",2,2,0,2,0,2,1,1,2,4,2014
9405,"Brooklyn, IA","Sioux City, IA",2,2,0,0,2,2,1,1,2,4,2014
9375,"Brooklyn, IA","Mount Pleasant, IA",1,3,0,0,1,3,2,2,0,4,2014
9299,"Brooklyn, IA","Belle Plaine, IA",0,4,0,1,1,2,0,3,1,4,2014
9326,"Brooklyn, IA","Dubuque, IA",1,2,1,0,4,0,0,2,2,4,2014
9356,"Brooklyn, IA","Kalona, IA",1,2,1,2,1,1,0,3,1,4,2014
9404,"Brooklyn, IA","Sigourney, IA",1,1,1,0,0,3,0,0,3,3,2014
9355,"Brooklyn, IA","Johnston, IA",1,1,1,1,1,1,2,0,1,3,2014
9318,"Brooklyn, IA","Coralville, IA",1,2,0,0,2,1,1,1,1,3,2014
9300,"Brooklyn, IA","Bennett, IA",0,3,0,0,0,3,0,0,3,3,2014
9390,"Brooklyn, IA","Ottumwa, IA",1,2,0,0,1,2,0,2,1,3,2014
9389,"Brooklyn, IA","Oskaloosa, IA",1,2,0,1,0,2,1,1,1,3,2014
9363,"Brooklyn, IA","Luana, IA",0,3,0,0,3,0,0,0,3,3,2014
9425,"Brooklyn, IA","West Des Moines, IA",1,0,2,2,1,0,1,1,1,3,2014
9414,"Brooklyn, IA","Urbandale, IA",0,2,1,1,1,1,0,3,0,3,2014
9295,"Brooklyn, IA","Ankeny, IA",2,1,0,1,2,0,2,0,1,3,2014
9302,"Brooklyn, IA","Bettendorf, IA",1,2,0,0,1,2,0,2,1,3,2014
9392,"Brooklyn, IA","Parkersburg, IA",0,1,1,0,0,2,0,1,1,2,2014
