,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
11849,"Cedar Falls, IA","Cedar Falls, IA",1913,3584,1838,1081,5148,1106,1829,2039,3467,7335,2014
12121,"Cedar Falls, IA","Waterloo, IA",1386,3077,1166,1437,3447,745,1017,1746,2866,5629,2014
11909,"Cedar Falls, IA","Evansdale, IA",168,352,154,89,478,107,157,300,217,674,2014
12124,"Cedar Falls, IA","Waverly, IA",135,233,110,146,289,43,82,135,261,478,2014
11850,"Cedar Falls, IA","Cedar Rapids, IA",86,137,63,45,159,82,83,80,123,286,2014
11883,"Cedar Falls, IA","Des Moines, IA",79,147,54,7,210,63,61,99,120,280,2014
11901,"Cedar Falls, IA","Elk Run Heights, IA",54,128,36,153,44,21,19,113,86,218,2014
11948,"Cedar Falls, IA","Hiawatha, IA",67,110,30,14,129,64,66,84,57,207,2014
11882,"Cedar Falls, IA","Denver, IA",43,89,46,68,79,31,51,54,73,178,2014
11820,"Cedar Falls, IA","Ankeny, IA",64,80,23,38,73,56,36,44,87,167,2014
11861,"Cedar Falls, IA","Clive, IA",53,59,31,1,83,59,61,46,36,143,2014
11958,"Cedar Falls, IA","Iowa City, IA",51,55,25,8,98,25,50,50,31,131,2014
11956,"Cedar Falls, IA","Independence, IA",32,60,15,38,60,9,24,43,40,107,2014
12114,"Cedar Falls, IA","Urbandale, IA",34,51,21,11,63,32,32,39,35,106,2014
11888,"Cedar Falls, IA","Dubuque, IA",47,40,18,4,67,34,43,34,28,105,2014
11817,"Cedar Falls, IA","Ames, IA",47,40,18,12,61,32,45,30,30,105,2014
12001,"Cedar Falls, IA","Marshalltown, IA",35,47,20,11,52,39,35,43,24,102,2014
12003,"Cedar Falls, IA","Mason City, IA",33,51,16,2,58,40,39,42,19,100,2014
11952,"Cedar Falls, IA","Hudson, IA",16,47,23,4,72,10,15,27,44,86,2014
11961,"Cedar Falls, IA","Janesville, IA",25,45,15,50,16,19,11,19,55,85,2014
11867,"Cedar Falls, IA","Coralville, IA",42,33,3,2,39,37,41,31,6,78,2014
11823,"Cedar Falls, IA","Asbury, IA",24,28,15,1,37,29,26,29,12,67,2014
11876,"Cedar Falls, IA","Davenport, IA",20,32,11,4,44,15,20,16,27,63,2014
12089,"Cedar Falls, IA","Sioux City, IA",22,31,9,5,31,26,23,26,13,62,2014
11918,"Cedar Falls, IA","Fort Dodge, IA",21,25,10,1,24,31,25,15,16,56,2014
11911,"Cedar Falls, IA","Fairfax, IA",26,22,7,2,21,32,21,24,10,55,2014
11899,"Cedar Falls, IA","Eldridge, IA",21,25,3,7,34,8,4,6,39,49,2014
12018,"Cedar Falls, IA","Morrison, IA",13,30,5,24,18,6,10,9,29,48,2014
