,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
31586,"Greeley, IA","Dyersville, IA",39,65,36,63,44,33,40,64,36,140,2014
31605,"Greeley, IA","Manchester, IA",21,65,31,31,69,17,22,51,44,117,2014
31585,"Greeley, IA","Dubuque, IA",20,47,24,6,72,13,28,39,24,91,2014
31596,"Greeley, IA","Greeley, IA",9,34,16,23,26,10,15,22,22,59,2014
31583,"Greeley, IA","Delaware, IA",11,30,16,18,16,23,21,19,17,57,2014
31601,"Greeley, IA","Hopkinton, IA",3,13,17,17,14,2,7,8,18,33,2014
31621,"Greeley, IA","Strawberry Point, IA",3,14,8,9,15,1,12,9,4,25,2014
31577,"Greeley, IA","Cedar Rapids, IA",7,11,4,5,14,3,5,2,15,22,2014
31599,"Greeley, IA","Hiawatha, IA",7,9,5,14,6,1,3,8,10,21,2014
31594,"Greeley, IA","Farley, IA",2,11,6,13,6,0,4,7,8,19,2014
31570,"Greeley, IA","Asbury, IA",10,6,2,3,10,5,5,7,6,18,2014
31581,"Greeley, IA","Davenport, IA",4,5,4,0,10,3,4,5,4,13,2014
31617,"Greeley, IA","Sageville, IA",3,8,2,4,6,3,3,3,7,13,2014
31587,"Greeley, IA","Edgewood, IA",2,6,5,1,9,3,4,7,2,13,2014
31597,"Greeley, IA","Guttenberg, IA",1,10,1,1,10,1,5,2,5,12,2014
31607,"Greeley, IA","Monticello, IA",0,10,1,9,2,0,1,4,6,11,2014
31628,"Greeley, IA","Worthington, IA",0,5,4,4,1,4,4,2,3,9,2014
31576,"Greeley, IA","Cascade, IA",0,8,1,1,6,2,4,3,2,9,2014
31573,"Greeley, IA","Bettendorf, IA",4,3,1,0,5,3,2,3,3,8,2014
31592,"Greeley, IA","Epworth, IA",2,5,1,2,6,0,4,2,2,8,2014
31615,"Greeley, IA","Robins, IA",2,0,4,0,3,3,5,1,0,6,2014
31580,"Greeley, IA","Coralville, IA",4,1,1,0,2,4,3,2,1,6,2014
31589,"Greeley, IA","Elkader, IA",0,3,3,0,5,1,1,3,2,6,2014
31612,"Greeley, IA","Peosta, IA",1,3,2,4,1,1,3,1,2,6,2014
31602,"Greeley, IA","Iowa City, IA",5,0,0,0,4,1,2,3,0,5,2014
31608,"Greeley, IA","Muscatine, IA",1,3,1,0,3,2,3,0,2,5,2014
31606,"Greeley, IA","Marion, IA",0,4,0,0,0,4,0,0,4,4,2014
31590,"Greeley, IA","Elkport, IA",0,3,1,0,0,4,0,0,4,4,2014
31593,"Greeley, IA","Fairfax, IA",2,1,0,0,0,3,3,0,0,3,2014
31626,"Greeley, IA","West Branch, IA",3,0,0,0,3,0,1,2,0,3,2014
31609,"Greeley, IA","New Vienna, IA",0,1,2,0,2,1,2,0,1,3,2014
31613,"Greeley, IA","Prairieburg, IA",1,0,2,1,2,0,1,2,0,3,2014
31572,"Greeley, IA","Bellevue, IA",0,3,0,2,1,0,0,2,1,3,2014
31604,"Greeley, IA","Low Moor, IA",1,2,0,0,0,3,0,3,0,3,2014
31571,"Greeley, IA","Balltown, IA",0,2,1,0,0,3,0,0,3,3,2014
31588,"Greeley, IA","Eldridge, IA",0,2,1,2,1,0,0,1,2,3,2014
31620,"Greeley, IA","St. Olaf, IA",0,2,0,2,0,0,0,0,2,2,2014
31616,"Greeley, IA","Ryan, IA",0,2,0,0,2,0,1,0,1,2,2014
31630,"Greeley, IA","Zwingle, IA",0,2,0,0,0,2,2,0,0,2,2014
31623,"Greeley, IA","University Heights, IA",2,0,0,0,1,1,0,2,0,2,2014
31582,"Greeley, IA","De Witt, IA",0,2,0,0,0,2,0,0,2,2,2014
31579,"Greeley, IA","Clinton, IA",0,2,0,1,1,0,1,0,1,2,2014
31575,"Greeley, IA","Camanche, IA",1,1,0,1,0,1,0,1,1,2,2014
31618,"Greeley, IA","Springbrook, IA",1,1,0,2,0,0,0,0,2,2,2014
31624,"Greeley, IA","Wadena, IA",0,0,1,1,0,0,0,1,0,1,2014
31622,"Greeley, IA","Tiffin, IA",1,0,0,0,0,1,1,0,0,1,2014
31625,"Greeley, IA","Walcott, IA",0,1,0,0,1,0,0,0,1,1,2014
31619,"Greeley, IA","Springville, IA",0,1,0,0,0,1,0,1,0,1,2014
31627,"Greeley, IA","West Liberty, IA",0,0,1,0,0,1,1,0,0,1,2014
31629,"Greeley, IA","Wyoming, IA",0,1,0,0,0,1,0,0,1,1,2014
31569,"Greeley, IA","Anamosa, IA",0,1,0,0,1,0,0,0,1,1,2014
31614,"Greeley, IA","Preston, IA",1,0,0,0,0,1,0,1,0,1,2014
31611,"Greeley, IA","Oskaloosa, IA",0,0,1,0,1,0,1,0,0,1,2014
31610,"Greeley, IA","North Liberty, IA",0,0,1,0,0,1,1,0,0,1,2014
31603,"Greeley, IA","Lisbon, IA",0,1,0,0,0,1,0,0,1,1,2014
31598,"Greeley, IA","Hazleton, IA",0,1,0,1,0,0,0,1,0,1,2014
31595,"Greeley, IA","Graf, IA",0,1,0,1,0,0,0,1,0,1,2014
31591,"Greeley, IA","Ely, IA",0,1,0,0,1,0,0,1,0,1,2014
31584,"Greeley, IA","Des Moines, IA",0,1,0,0,1,0,0,1,0,1,2014
31578,"Greeley, IA","Clarence, IA",0,1,0,1,0,0,0,1,0,1,2014
31574,"Greeley, IA","Blue Grass, IA",0,1,0,1,0,0,0,1,0,1,2014
31600,"Greeley, IA","Hills, IA",0,1,0,0,1,0,0,0,1,1,2014
