,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
35328,"Hubbard, IA","Marshalltown, IA",2,21,21,13,28,3,9,12,23,44,2014
35301,"Hubbard, IA","Eldora, IA",2,21,13,6,29,1,8,14,14,36,2014
35319,"Hubbard, IA","Hubbard, IA",6,16,13,5,18,12,11,13,11,35,2014
35322,"Hubbard, IA","Iowa Falls, IA",2,16,6,10,8,6,4,7,13,24,2014
35282,"Hubbard, IA","Ames, IA",10,11,3,6,18,0,5,11,8,24,2014
35326,"Hubbard, IA","Liscomb, IA",2,8,13,2,17,4,7,8,8,23,2014
35296,"Hubbard, IA","Des Moines, IA",3,12,4,1,13,5,4,6,9,19,2014
35331,"Hubbard, IA","Nevada, IA",0,10,6,4,12,0,0,3,13,16,2014
35343,"Hubbard, IA","Steamboat Rock, IA",0,7,4,1,8,2,4,4,3,11,2014
35344,"Hubbard, IA","Story City, IA",2,6,1,3,5,1,2,3,4,9,2014
35350,"Hubbard, IA","Waterloo, IA",2,6,1,0,4,5,2,4,3,9,2014
35280,"Hubbard, IA","Alden, IA",1,4,2,2,3,2,2,0,5,7,2014
35293,"Hubbard, IA","Conrad, IA",0,5,2,1,5,1,1,4,2,7,2014
35348,"Hubbard, IA","Urbandale, IA",0,5,2,1,4,2,0,2,5,7,2014
35321,"Hubbard, IA","Iowa City, IA",3,2,1,0,6,0,2,2,2,6,2014
35283,"Hubbard, IA","Ankeny, IA",0,4,2,1,2,3,1,2,3,6,2014
35354,"Hubbard, IA","West Des Moines, IA",1,3,1,0,2,3,1,3,1,5,2014
35351,"Hubbard, IA","Waukee, IA",0,4,1,0,3,2,2,1,2,5,2014
35318,"Hubbard, IA","Hiawatha, IA",1,3,0,0,4,0,1,3,0,4,2014
35314,"Hubbard, IA","Grundy Center, IA",0,4,0,0,1,3,0,0,4,4,2014
35355,"Hubbard, IA","Whitten, IA",0,2,2,2,1,1,0,3,1,4,2014
35353,"Hubbard, IA","Wellsburg, IA",0,3,1,0,2,2,2,1,1,4,2014
35289,"Hubbard, IA","Cedar Falls, IA",0,2,2,0,3,1,3,1,0,4,2014
35352,"Hubbard, IA","Waverly, IA",0,1,2,0,3,0,0,1,2,3,2014
35284,"Hubbard, IA","Aredale, IA",1,1,1,0,0,3,0,1,2,3,2014
35286,"Hubbard, IA","Beaman, IA",0,0,3,2,1,0,0,2,1,3,2014
35323,"Hubbard, IA","Johnston, IA",0,1,2,3,0,0,1,0,2,3,2014
35313,"Hubbard, IA","Grinnell, IA",2,0,1,0,3,0,0,3,0,3,2014
35337,"Hubbard, IA","Owasa, IA",0,3,0,1,0,2,1,1,1,3,2014
35290,"Hubbard, IA","Cedar Rapids, IA",1,1,1,0,2,1,0,1,2,3,2014
35300,"Hubbard, IA","Eddyville, IA",0,2,1,1,0,2,0,1,2,3,2014
35292,"Hubbard, IA","Clive, IA",1,2,0,0,3,0,1,2,0,3,2014
35336,"Hubbard, IA","Ottumwa, IA",1,1,0,0,1,1,0,1,1,2,2014
35279,"Hubbard, IA","Albia, IA",0,0,2,2,0,0,0,2,0,2,2014
35316,"Hubbard, IA","Hampton, IA",0,2,0,2,0,0,0,0,2,2,2014
35346,"Hubbard, IA","Union, IA",0,2,0,1,1,0,1,1,0,2,2014
35357,"Hubbard, IA","Zearing, IA",0,2,0,0,1,1,0,1,1,2,2014
35303,"Hubbard, IA","Elkader, IA",0,1,1,0,0,2,0,1,1,2,2014
35299,"Hubbard, IA","Dyersville, IA",2,0,0,1,0,1,1,1,0,2,2014
35298,"Hubbard, IA","Duncombe, IA",1,0,1,0,0,2,0,1,1,2,2014
35305,"Hubbard, IA","Fairfax, IA",1,1,0,0,1,1,0,1,1,2,2014
35302,"Hubbard, IA","Elk Run Heights, IA",1,0,0,1,0,0,0,0,1,1,2014
35339,"Hubbard, IA","Rhodes, IA",0,0,1,0,0,1,0,0,1,1,2014
35340,"Hubbard, IA","Roland, IA",0,0,1,0,1,0,0,1,0,1,2014
35341,"Hubbard, IA","Sheffield, IA",0,1,0,1,0,0,0,1,0,1,2014
35342,"Hubbard, IA","State Center, IA",0,0,1,0,0,1,0,0,1,1,2014
35345,"Hubbard, IA","Traer, IA",1,0,0,0,1,0,0,1,0,1,2014
35297,"Hubbard, IA","Dexter, IA",0,1,0,0,0,1,0,0,1,1,2014
35347,"Hubbard, IA","Urbana, IA",0,0,1,0,0,1,0,0,1,1,2014
35295,"Hubbard, IA","Davenport, IA",0,0,1,0,0,1,0,0,1,1,2014
35349,"Hubbard, IA","Van Horne, IA",0,0,1,0,1,0,1,0,0,1,2014
35294,"Hubbard, IA","Coralville, IA",1,0,0,0,0,1,1,0,0,1,2014
35291,"Hubbard, IA","Chariton, IA",0,1,0,0,0,1,0,0,1,1,2014
35288,"Hubbard, IA","Bussey, IA",1,0,0,0,0,1,0,0,1,1,2014
35287,"Hubbard, IA","Boone, IA",1,0,0,0,0,1,1,0,0,1,2014
35285,"Hubbard, IA","Baxter, IA",0,0,1,0,1,0,1,0,0,1,2014
35281,"Hubbard, IA","Altoona, IA",0,0,1,0,0,1,0,0,1,1,2014
35356,"Hubbard, IA","Windsor Heights, IA",0,1,0,0,0,1,0,1,0,1,2014
35338,"Hubbard, IA","Randalia, IA",0,1,0,0,1,0,0,1,0,1,2014
35315,"Hubbard, IA","Guernsey, IA",0,1,0,0,1,0,1,0,0,1,2014
35312,"Hubbard, IA","Gilman, IA",1,0,0,1,0,0,0,1,0,1,2014
35335,"Hubbard, IA","Oskaloosa, IA",0,1,0,0,1,0,0,0,1,1,2014
35317,"Hubbard, IA","Hazleton, IA",0,0,1,0,0,1,0,0,1,1,2014
