,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
38410,"Kellerton, IA","Mount Ayr, IA",11,40,19,10,50,10,26,28,16,70,2014
38390,"Kellerton, IA","Creston, IA",0,13,3,9,5,2,4,4,8,16,2014
38391,"Kellerton, IA","Des Moines, IA",5,7,2,0,9,5,3,5,6,14,2014
38418,"Kellerton, IA","Redding, IA",1,6,6,0,13,0,3,5,5,13,2014
38392,"Kellerton, IA","Diagonal, IA",3,5,3,1,10,0,4,6,1,11,2014
38404,"Kellerton, IA","Lamoni, IA",1,6,3,1,8,1,1,5,4,10,2014
38402,"Kellerton, IA","Johnston, IA",1,1,3,0,3,2,0,1,4,5,2014
38409,"Kellerton, IA","Marshalltown, IA",2,3,0,0,4,1,1,3,1,5,2014
38406,"Kellerton, IA","Lenox, IA",1,1,3,0,5,0,1,4,0,5,2014
38425,"Kellerton, IA","West Des Moines, IA",0,0,4,0,2,2,2,0,2,4,2014
38422,"Kellerton, IA","Urbandale, IA",0,3,1,0,4,0,0,3,1,4,2014
38407,"Kellerton, IA","Leon, IA",0,4,0,0,4,0,2,2,0,4,2014
38378,"Kellerton, IA","Ames, IA",2,1,0,0,3,0,2,1,0,3,2014
38408,"Kellerton, IA","Lynnville, IA",0,2,1,0,3,0,3,0,0,3,2014
38388,"Kellerton, IA","Clive, IA",2,1,0,0,2,1,1,2,0,3,2014
38398,"Kellerton, IA","Grand River, IA",0,3,0,3,0,0,0,2,1,3,2014
38381,"Kellerton, IA","Atlantic, IA",2,1,0,0,2,1,2,1,0,3,2014
38399,"Kellerton, IA","Greenfield, IA",0,0,3,2,1,0,1,2,0,3,2014
38414,"Kellerton, IA","Osceola, IA",1,1,0,1,1,0,1,1,0,2,2014
38377,"Kellerton, IA","Altoona, IA",0,2,0,0,1,1,0,2,0,2,2014
38380,"Kellerton, IA","Ankeny, IA",1,0,1,0,1,1,1,1,0,2,2014
38382,"Kellerton, IA","Bedford, IA",0,0,2,0,2,0,1,0,1,2,2014
38397,"Kellerton, IA","Gilman, IA",0,1,0,0,1,0,1,0,0,1,2014
38396,"Kellerton, IA","Garden Grove, IA",0,0,1,0,0,1,0,1,0,1,2014
38379,"Kellerton, IA","Anita, IA",0,1,0,1,0,0,0,0,1,1,2014
38424,"Kellerton, IA","Waukee, IA",1,0,0,0,0,1,1,0,0,1,2014
38423,"Kellerton, IA","Washington, IA",1,0,0,0,1,0,1,0,0,1,2014
38421,"Kellerton, IA","Spencer, IA",1,0,0,0,1,0,1,0,0,1,2014
38420,"Kellerton, IA","Shueyville, IA",0,1,0,0,0,1,0,1,0,1,2014
38419,"Kellerton, IA","Sandyville, IA",0,0,1,0,1,0,1,0,0,1,2014
38417,"Kellerton, IA","Rathbun, IA",0,0,1,0,0,1,0,1,0,1,2014
38416,"Kellerton, IA","Pleasant Hill, IA",0,0,1,0,1,0,1,0,0,1,2014
38415,"Kellerton, IA","Ottumwa, IA",0,1,0,1,0,0,0,1,0,1,2014
38383,"Kellerton, IA","Boone, IA",0,1,0,0,0,1,1,0,0,1,2014
38413,"Kellerton, IA","Newton, IA",1,0,0,1,0,0,0,0,1,1,2014
38412,"Kellerton, IA","Nevada, IA",0,0,1,0,1,0,1,0,0,1,2014
38411,"Kellerton, IA","Murray, IA",0,1,0,0,1,0,0,1,0,1,2014
38384,"Kellerton, IA","Carlisle, IA",0,1,0,0,1,0,0,1,0,1,2014
38385,"Kellerton, IA","Centerville, IA",0,1,0,0,0,1,0,1,0,1,2014
38386,"Kellerton, IA","Chariton, IA",0,1,0,0,1,0,0,1,0,1,2014
38387,"Kellerton, IA","Clearfield, IA",1,0,0,0,1,0,0,1,0,1,2014
38389,"Kellerton, IA","Corydon, IA",0,1,0,0,0,1,0,1,0,1,2014
38405,"Kellerton, IA","Le Grand, IA",0,1,0,0,1,0,1,0,0,1,2014
38393,"Kellerton, IA","East Peru, IA",0,1,0,1,0,0,0,1,0,1,2014
38403,"Kellerton, IA","Kellerton, IA",0,0,1,1,0,0,0,1,0,1,2014
38394,"Kellerton, IA","Eldridge, IA",0,1,0,0,1,0,0,0,1,1,2014
38401,"Kellerton, IA","Jewell Junction, IA",0,0,1,0,1,0,0,1,0,1,2014
38400,"Kellerton, IA","Harvey, IA",0,1,0,1,0,0,0,0,1,1,2014
38395,"Kellerton, IA","Ellsworth, IA",1,0,0,1,0,0,1,0,0,1,2014
38426,"Kellerton, IA","Windsor Heights, IA",0,1,0,0,1,0,0,0,1,1,2014
