,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
54545,"North Liberty, IA","Iowa City, IA",887,3341,1089,316,4765,236,560,1101,3656,5317,2014
54585,"North Liberty, IA","North Liberty, IA",429,758,221,224,853,331,350,498,560,1408,2014
54488,"North Liberty, IA","Cedar Rapids, IA",338,618,119,153,756,166,173,276,626,1075,2014
54623,"North Liberty, IA","Tiffin, IA",193,446,110,228,396,125,175,212,362,749,2014
54501,"North Liberty, IA","Coralville, IA",254,386,90,37,542,151,194,285,251,730,2014
54539,"North Liberty, IA","Hiawatha, IA",146,397,95,201,360,77,65,120,453,638,2014
54626,"North Liberty, IA","University Heights, IA",117,238,64,18,331,70,118,124,177,419,2014
54592,"North Liberty, IA","Oxford, IA",35,86,35,26,74,56,31,66,59,156,2014
54606,"North Liberty, IA","Riverside, IA",57,63,23,18,70,55,19,47,77,143,2014
54521,"North Liberty, IA","Ely, IA",28,84,25,2,135,0,38,35,64,137,2014
54563,"North Liberty, IA","Marengo, IA",38,73,26,107,19,11,27,43,67,137,2014
54523,"North Liberty, IA","Fairfax, IA",32,47,8,25,31,31,21,18,48,87,2014
54505,"North Liberty, IA","Davenport, IA",25,36,18,3,54,22,30,25,24,79,2014
54498,"North Liberty, IA","Clive, IA",27,32,9,2,35,31,21,26,21,68,2014
54510,"North Liberty, IA","Des Moines, IA",20,31,16,4,49,14,14,21,32,67,2014
54607,"North Liberty, IA","Robins, IA",21,36,10,15,32,20,18,22,27,67,2014
54614,"North Liberty, IA","Shueyville, IA",23,26,9,9,26,23,14,11,33,58,2014
54578,"North Liberty, IA","Muscatine, IA",20,30,4,20,23,11,12,10,32,54,2014
54548,"North Liberty, IA","Kalona, IA",14,28,7,19,24,6,6,23,20,49,2014
54642,"North Liberty, IA","West Branch, IA",10,29,7,4,22,20,5,17,24,46,2014
54618,"North Liberty, IA","Solon, IA",17,14,11,1,37,4,12,20,10,42,2014
54475,"North Liberty, IA","Bettendorf, IA",22,13,6,1,20,20,18,11,12,41,2014
54648,"North Liberty, IA","Williamsburg, IA",10,20,10,11,23,6,11,5,24,40,2014
54512,"North Liberty, IA","Dubuque, IA",15,17,7,1,24,14,11,16,12,39,2014
54462,"North Liberty, IA","Ames, IA",19,13,6,3,27,8,11,12,15,38,2014
54637,"North Liberty, IA","Waterloo, IA",16,16,3,1,20,14,17,8,10,35,2014
54487,"North Liberty, IA","Cedar Falls, IA",13,16,5,4,19,11,15,10,9,34,2014
54556,"North Liberty, IA","Lisbon, IA",11,16,2,2,25,2,4,17,8,29,2014
54624,"North Liberty, IA","Tipton, IA",8,18,2,5,14,9,4,10,14,28,2014
