,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
11993,"Center Junction, IA","Monticello, IA",12,21,11,26,12,6,15,17,12,44,2014
11980,"Center Junction, IA","Center Junction, IA",4,18,9,17,10,4,11,9,11,31,2014
12011,"Center Junction, IA","Wyoming, IA",0,7,1,4,4,0,4,0,4,8,2014
11986,"Center Junction, IA","Dyersville, IA",0,5,0,3,1,1,1,0,4,5,2014
11997,"Center Junction, IA","Oxford Junction, IA",0,2,2,2,1,1,1,2,1,4,2014
11994,"Center Junction, IA","Morley, IA",0,1,3,2,2,0,2,0,2,4,2014
11990,"Center Junction, IA","Martelle, IA",1,0,2,2,1,0,0,1,2,3,2014
12007,"Center Junction, IA","Tipton, IA",0,3,0,3,0,0,0,0,3,3,2014
12000,"Center Junction, IA","Peosta, IA",1,0,2,2,1,0,2,0,1,3,2014
11975,"Center Junction, IA","Asbury, IA",1,1,1,0,3,0,3,0,0,3,2014
11985,"Center Junction, IA","Dubuque, IA",0,1,2,1,1,1,1,1,1,3,2014
12006,"Center Junction, IA","Strawberry Point, IA",1,1,0,1,1,0,1,0,1,2,2014
11996,"Center Junction, IA","Owasa, IA",0,0,2,0,0,2,0,1,1,2,2014
11974,"Center Junction, IA","Anamosa, IA",0,0,2,1,1,0,2,0,0,2,2014
11976,"Center Junction, IA","Balltown, IA",0,1,1,0,2,0,0,1,1,2,2014
11982,"Center Junction, IA","Coralville, IA",0,2,0,2,0,0,0,2,0,2,2014
11988,"Center Junction, IA","Hiawatha, IA",1,0,0,0,1,0,0,1,0,1,2014
12001,"Center Junction, IA","Readlyn, IA",0,0,1,0,0,1,1,0,0,1,2014
12010,"Center Junction, IA","Windsor Heights, IA",0,1,0,0,0,1,0,0,1,1,2014
12009,"Center Junction, IA","Waverly, IA",0,1,0,1,0,0,0,1,0,1,2014
12008,"Center Junction, IA","Urbana, IA",0,0,1,0,0,1,0,1,0,1,2014
11977,"Center Junction, IA","Bristow, IA",0,0,1,0,0,1,0,1,0,1,2014
11978,"Center Junction, IA","Cascade, IA",0,1,0,1,0,0,0,0,1,1,2014
12005,"Center Junction, IA","St. Olaf, IA",1,0,0,0,0,1,0,1,0,1,2014
12004,"Center Junction, IA","Springbrook, IA",0,1,0,1,0,0,0,1,0,1,2014
12003,"Center Junction, IA","Sageville, IA",1,0,0,0,1,0,1,0,0,1,2014
12002,"Center Junction, IA","Riverside, IA",1,0,0,1,0,0,0,1,0,1,2014
11979,"Center Junction, IA","Cedar Rapids, IA",1,0,0,0,1,0,1,0,0,1,2014
11989,"Center Junction, IA","Maquoketa, IA",0,0,1,0,1,0,1,0,0,1,2014
11999,"Center Junction, IA","Parkersburg, IA",0,0,1,0,1,0,1,0,0,1,2014
11998,"Center Junction, IA","Palo, IA",0,1,0,0,1,0,0,1,0,1,2014
11981,"Center Junction, IA","Center Point, IA",0,1,0,0,0,1,0,0,1,1,2014
11995,"Center Junction, IA","Nora Springs, IA",1,0,0,0,0,1,0,1,0,1,2014
11983,"Center Junction, IA","Cresco, IA",0,1,0,0,1,0,0,0,1,1,2014
11984,"Center Junction, IA","Davenport, IA",0,1,0,1,0,0,0,0,1,1,2014
11992,"Center Junction, IA","Mechanicsville, IA",0,1,0,1,0,0,0,1,0,1,2014
11991,"Center Junction, IA","McCausland, IA",0,1,0,0,1,0,1,0,0,1,2014
11987,"Center Junction, IA","Fairbank, IA",1,0,0,1,0,0,1,0,0,1,2014
12012,"Center Junction, IA","Zwingle, IA",0,0,1,0,1,0,1,0,0,1,2014
