,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
21677,"Dougherty, IA","Bristow, IA",7,8,5,10,8,2,10,7,3,20,2014
21683,"Dougherty, IA","Dougherty, IA",2,5,3,4,6,0,3,3,4,10,2014
21686,"Dougherty, IA","Hampton, IA",0,5,0,0,1,4,0,2,3,5,2014
21694,"Dougherty, IA","Parkersburg, IA",1,1,1,0,2,1,2,0,1,3,2014
21676,"Dougherty, IA","Allison, IA",0,1,1,1,0,1,0,0,2,2,2014
21690,"Dougherty, IA","Iowa Falls, IA",0,1,1,2,0,0,0,1,1,2,2014
21698,"Dougherty, IA","Waterloo, IA",0,1,0,0,0,1,0,0,1,1,2014
21697,"Dougherty, IA","Story City, IA",0,0,1,0,1,0,1,0,0,1,2014
21696,"Dougherty, IA","Sheffield, IA",0,1,0,1,0,0,0,0,1,1,2014
21695,"Dougherty, IA","Readlyn, IA",0,0,1,0,0,1,0,0,1,1,2014
21693,"Dougherty, IA","Oelwein, IA",0,1,0,0,1,0,0,1,0,1,2014
21692,"Dougherty, IA","Morrison, IA",0,0,1,0,1,0,0,0,1,1,2014
21691,"Dougherty, IA","Mason City, IA",0,0,1,0,1,0,1,0,0,1,2014
21688,"Dougherty, IA","Independence, IA",0,1,0,0,1,0,0,1,0,1,2014
21689,"Dougherty, IA","Indianola, IA",1,0,0,0,1,0,0,1,0,1,2014
21687,"Dougherty, IA","Hazleton, IA",0,1,0,0,1,0,1,0,0,1,2014
21685,"Dougherty, IA","Garner, IA",0,0,1,0,1,0,0,0,1,1,2014
21684,"Dougherty, IA","Eldora, IA",0,0,1,1,0,0,0,1,0,1,2014
21682,"Dougherty, IA","Coulter, IA",0,1,0,0,1,0,0,0,1,1,2014
21681,"Dougherty, IA","Clio, IA",0,1,0,0,1,0,0,1,0,1,2014
21680,"Dougherty, IA","Clarksville, IA",0,1,0,0,1,0,0,1,0,1,2014
21679,"Dougherty, IA","Cedar Falls, IA",0,1,0,0,0,1,0,0,1,1,2014
21678,"Dougherty, IA","Britt, IA",0,1,0,0,1,0,0,1,0,1,2014
21699,"Dougherty, IA","Waukee, IA",0,1,0,0,1,0,0,0,1,1,2014
