,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
26764,"Fairfield, IA","Fairfield, IA",526,1140,1007,424,1921,328,828,1077,768,2673,2014
26876,"Fairfield, IA","Ottumwa, IA",71,172,73,104,182,30,51,139,126,316,2014
26878,"Fairfield, IA","Packwood, IA",55,127,67,46,177,26,66,113,70,249,2014
26757,"Fairfield, IA","Eldon, IA",42,125,62,59,148,22,44,110,75,229,2014
26824,"Fairfield, IA","Lockridge, IA",46,84,60,30,130,30,53,73,64,190,2014
26897,"Fairfield, IA","Richland, IA",39,78,49,40,103,23,35,84,47,166,2014
26708,"Fairfield, IA","Brighton, IA",24,73,44,35,85,21,37,59,45,141,2014
26854,"Fairfield, IA","Mount Pleasant, IA",39,44,22,17,72,16,31,38,36,105,2014
26706,"Fairfield, IA","Bonaparte, IA",18,64,19,32,61,8,16,46,39,101,2014
26807,"Fairfield, IA","Keosauqua, IA",15,40,19,27,40,7,15,33,26,74,2014
26792,"Fairfield, IA","Hillsboro, IA",10,36,20,18,40,8,10,35,21,66,2014
26680,"Fairfield, IA","Agency, IA",14,31,14,23,29,7,11,26,22,59,2014
26936,"Fairfield, IA","Washington, IA",8,36,12,8,37,11,18,25,13,56,2014
26709,"Fairfield, IA","Burlington, IA",13,31,8,5,27,20,19,16,17,52,2014
26858,"Fairfield, IA","Muscatine, IA",17,19,13,5,25,19,15,19,15,49,2014
26790,"Fairfield, IA","Hedrick, IA",10,23,15,16,29,3,8,29,11,48,2014
26774,"Fairfield, IA","Fremont, IA",16,21,11,13,34,1,9,30,9,48,2014
26843,"Fairfield, IA","Milton, IA",7,34,6,21,20,6,5,18,24,47,2014
26701,"Fairfield, IA","Birmingham, IA",4,29,7,11,24,5,4,21,15,40,2014
26771,"Fairfield, IA","Fort Madison, IA",11,15,9,3,23,9,14,13,8,35,2014
26875,"Fairfield, IA","Oskaloosa, IA",9,16,7,1,21,10,12,10,10,32,2014
26718,"Fairfield, IA","Cedar Rapids, IA",11,10,11,1,18,13,16,9,7,32,2014
26711,"Fairfield, IA","Cantril, IA",8,15,6,12,15,2,3,11,15,29,2014
26766,"Fairfield, IA","Farmington, IA",4,20,5,12,15,2,4,12,13,29,2014
