,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
43149,"Linden, IA","Perry, IA",23,68,24,94,15,6,13,54,48,115,2014
43113,"Linden, IA","Linden, IA",10,30,21,30,20,11,14,17,30,61,2014
43043,"Linden, IA","Bayard, IA",10,28,15,18,22,13,20,17,16,53,2014
43146,"Linden, IA","Panora, IA",6,17,6,6,18,5,9,10,10,29,2014
43187,"Linden, IA","Waukee, IA",6,12,6,10,10,4,4,6,14,24,2014
43125,"Linden, IA","Minburn, IA",2,12,9,16,5,2,0,10,13,23,2014
43069,"Linden, IA","Dallas Center, IA",2,13,6,11,4,6,3,9,9,21,2014
43075,"Linden, IA","Des Moines, IA",7,9,3,10,3,6,5,7,7,19,2014
43047,"Linden, IA","Boone, IA",3,12,4,14,1,4,2,7,10,19,2014
43033,"Linden, IA","Ames, IA",6,8,3,8,3,6,6,3,8,17,2014
43182,"Linden, IA","Urbandale, IA",3,10,1,11,0,3,3,1,10,14,2014
43101,"Linden, IA","Jefferson, IA",3,6,5,11,1,2,0,6,8,14,2014
43037,"Linden, IA","Ankeny, IA",5,7,1,3,1,9,6,2,5,13,2014
43091,"Linden, IA","Guthrie Center, IA",3,7,2,1,8,3,7,2,3,12,2014
43192,"Linden, IA","Windsor Heights, IA",1,7,2,2,1,7,4,0,6,10,2014
43063,"Linden, IA","Clive, IA",3,5,1,2,5,2,2,0,7,9,2014
43079,"Linden, IA","Exira, IA",1,5,3,5,3,1,3,2,4,9,2014
43071,"Linden, IA","De Soto, IA",1,2,6,5,1,3,2,1,6,9,2014
43066,"Linden, IA","Council Bluffs, IA",6,1,1,1,0,7,3,2,3,8,2014
43150,"Linden, IA","Pleasant Hill, IA",5,1,1,3,0,4,2,2,3,7,2014
43102,"Linden, IA","Johnston, IA",2,2,2,1,3,2,2,0,4,6,2014
43030,"Linden, IA","Adel, IA",2,3,1,2,1,3,2,1,3,6,2014
43051,"Linden, IA","Carroll, IA",5,1,0,1,2,3,3,1,2,6,2014
43048,"Linden, IA","Boxholm, IA",0,4,1,2,2,1,1,2,2,5,2014
43041,"Linden, IA","Audubon, IA",1,1,3,1,3,1,1,1,3,5,2014
43053,"Linden, IA","Casey, IA",1,3,1,0,4,1,2,2,1,5,2014
43090,"Linden, IA","Grimes, IA",2,2,1,3,1,1,1,0,4,5,2014
43195,"Linden, IA","Woodward, IA",1,3,0,1,1,2,0,2,2,4,2014
43136,"Linden, IA","Newton, IA",2,2,0,1,1,2,1,2,1,4,2014
43082,"Linden, IA","Fort Dodge, IA",2,2,0,0,0,4,4,0,0,4,2014
43177,"Linden, IA","Stuart, IA",1,2,1,2,2,0,1,2,1,4,2014
43183,"Linden, IA","Van Meter, IA",1,3,0,2,0,2,0,2,2,4,2014
43088,"Linden, IA","Granger, IA",1,1,2,1,2,1,1,2,1,4,2014
43189,"Linden, IA","West Des Moines, IA",0,2,2,2,1,1,1,0,3,4,2014
43042,"Linden, IA","Bagley, IA",0,2,2,2,2,0,0,2,2,4,2014
43087,"Linden, IA","Grand Junction, IA",0,2,1,3,0,0,0,0,3,3,2014
43117,"Linden, IA","Luther, IA",1,1,1,2,0,1,0,2,1,3,2014
43105,"Linden, IA","Knoxville, IA",1,1,1,2,1,0,0,3,0,3,2014
43134,"Linden, IA","Nevada, IA",1,1,1,1,0,2,0,2,1,3,2014
43076,"Linden, IA","Dexter, IA",2,0,1,1,0,2,2,0,1,3,2014
43143,"Linden, IA","Osceola, IA",1,2,0,0,2,1,0,3,0,3,2014
43147,"Linden, IA","Patterson, IA",0,0,3,0,0,3,0,0,3,3,2014
43153,"Linden, IA","Promise City, IA",1,0,2,0,1,2,1,1,1,3,2014
43155,"Linden, IA","Red Oak, IA",2,0,1,0,0,3,1,1,1,3,2014
43054,"Linden, IA","Cedar Rapids, IA",1,2,0,0,0,3,2,0,1,3,2014
43170,"Linden, IA","Sioux Center, IA",1,1,1,0,0,3,2,1,0,3,2014
43058,"Linden, IA","Cherokee, IA",2,0,1,0,2,1,1,1,1,3,2014
43186,"Linden, IA","Waterloo, IA",1,2,0,0,0,3,1,0,2,3,2014
43064,"Linden, IA","Colo, IA",1,1,1,1,0,2,1,2,0,3,2014
43152,"Linden, IA","Polk City, IA",1,1,0,0,0,2,1,1,0,2,2014
43116,"Linden, IA","Lorimor, IA",1,1,0,1,1,0,0,2,0,2,2014
43099,"Linden, IA","Indianola, IA",0,1,1,1,1,0,0,1,1,2,2014
43193,"Linden, IA","Winterset, IA",0,2,0,0,0,2,1,1,0,2,2014
43032,"Linden, IA","Altoona, IA",0,2,0,1,0,1,0,0,2,2,2014
43111,"Linden, IA","Le Mars, IA",0,0,2,0,0,2,0,2,0,2,2014
43188,"Linden, IA","Webster City, IA",0,1,1,0,0,2,0,1,1,2,2014
43118,"Linden, IA","Madrid, IA",0,1,1,1,1,0,0,0,2,2,2014
43036,"Linden, IA","Anita, IA",0,1,1,0,1,1,1,1,0,2,2014
43122,"Linden, IA","Marcus, IA",0,0,2,1,0,1,0,0,2,2,2014
43173,"Linden, IA","St. Marys, IA",2,0,0,0,0,2,2,0,0,2,2014
43123,"Linden, IA","Marshalltown, IA",1,1,0,0,1,1,0,2,0,2,2014
43171,"Linden, IA","Sioux City, IA",0,1,1,0,0,2,0,0,2,2,2014
43157,"Linden, IA","Robins, IA",2,0,0,0,0,2,0,2,0,2,2014
43141,"Linden, IA","Ogden, IA",0,0,2,0,1,1,0,0,2,2,2014
43096,"Linden, IA","Humboldt, IA",1,1,0,0,0,2,2,0,0,2,2014
43097,"Linden, IA","Huxley, IA",0,0,2,1,0,1,0,2,0,2,2014
43052,"Linden, IA","Carter Lake, IA",1,0,1,0,0,2,1,0,1,2,2014
43080,"Linden, IA","Fairfield, IA",0,1,1,2,0,0,0,0,2,2,2014
43067,"Linden, IA","Creston, IA",1,1,0,0,1,1,2,0,0,2,2014
43056,"Linden, IA","Chariton, IA",0,2,0,1,0,1,1,0,1,2,2014
43046,"Linden, IA","Blakesburg, IA",0,2,0,2,0,0,0,2,0,2,2014
43057,"Linden, IA","Charter Oak, IA",0,2,0,0,2,0,0,2,0,2,2014
43070,"Linden, IA","Davenport, IA",0,1,1,1,0,1,1,0,1,2,2014
43065,"Linden, IA","Coon Rapids, IA",0,2,0,2,0,0,0,2,0,2,2014
43060,"Linden, IA","Clarion, IA",0,1,1,1,0,1,0,0,2,2,2014
43161,"Linden, IA","Sageville, IA",1,0,0,0,0,1,1,0,0,1,2014
43168,"Linden, IA","Shueyville, IA",0,1,0,0,1,0,0,0,1,1,2014
43167,"Linden, IA","Sheldon, IA",1,0,0,0,1,0,1,0,0,1,2014
43166,"Linden, IA","Shelby, IA",1,0,0,0,1,0,1,0,0,1,2014
43165,"Linden, IA","Seymour, IA",1,0,0,0,0,1,1,0,0,1,2014
43164,"Linden, IA","Sergeant Bluff, IA",0,0,1,0,0,1,0,0,1,1,2014
