,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
47584,"Mason City, IA","Mason City, IA",1811,4541,2427,1559,5831,1389,2502,3254,3023,8779,2014
47409,"Mason City, IA","Clear Lake, IA",239,640,366,197,855,193,318,429,498,1245,2014
47621,"Mason City, IA","Nora Springs, IA",112,259,156,118,330,79,99,189,239,527,2014
47624,"Mason City, IA","Northwood, IA",96,236,96,105,267,56,81,190,157,428,2014
47482,"Mason City, IA","Floyd, IA",71,191,85,85,211,51,81,124,142,347,2014
47403,"Mason City, IA","Charles City, IA",64,194,69,100,184,43,70,140,117,327,2014
47673,"Mason City, IA","Rockford, IA",61,138,66,55,160,50,50,109,106,265,2014
47575,"Mason City, IA","Manly, IA",52,136,65,65,145,43,66,92,95,253,2014
47649,"Mason City, IA","Plymouth, IA",48,126,71,32,171,42,62,96,87,245,2014
47492,"Mason City, IA","Garner, IA",40,136,60,35,162,39,49,68,119,236,2014
47720,"Mason City, IA","Thornton, IA",29,98,38,35,108,22,30,59,76,165,2014
47674,"Mason City, IA","Rockwell, IA",36,75,42,33,97,23,44,47,62,153,2014
47631,"Mason City, IA","Osage, IA",43,70,36,19,105,25,25,64,60,149,2014
47743,"Mason City, IA","Waterloo, IA",42,70,26,7,74,57,34,66,38,138,2014
47509,"Mason City, IA","Hampton, IA",17,77,33,23,83,21,32,45,50,127,2014
47444,"Mason City, IA","Des Moines, IA",39,64,22,6,79,40,48,31,46,125,2014
47537,"Mason City, IA","Kensett, IA",28,69,25,28,76,18,33,52,37,122,2014
47614,"Mason City, IA","New Hampton, IA",29,63,28,2,104,14,31,43,46,120,2014
47483,"Mason City, IA","Forest City, IA",26,62,27,20,80,15,33,28,54,115,2014
47536,"Mason City, IA","Joice, IA",13,62,35,31,71,8,21,39,50,110,2014
47611,"Mason City, IA","Nashua, IA",21,58,23,21,60,21,18,44,40,102,2014
47397,"Mason City, IA","Cedar Falls, IA",33,51,16,2,58,40,39,42,19,100,2014
47384,"Mason City, IA","Britt, IA",19,59,15,25,57,11,25,30,38,93,2014
