,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
64006,"Rock Rapids, IA","Rock Rapids, IA",199,423,239,58,574,229,317,269,275,861,2014
63922,"Rock Rapids, IA","Ashton, IA",18,39,29,6,59,21,37,27,22,86,2014
63960,"Rock Rapids, IA","George, IA",7,41,35,5,66,12,39,23,21,83,2014
63970,"Rock Rapids, IA","Inwood, IA",17,11,19,3,35,9,16,17,14,47,2014
63977,"Rock Rapids, IA","Larchwood, IA",11,19,12,6,27,9,13,18,11,42,2014
64017,"Rock Rapids, IA","Sioux Center, IA",13,14,4,5,19,7,10,11,10,31,2014
64015,"Rock Rapids, IA","Sibley, IA",6,10,15,4,19,8,9,9,13,31,2014
64014,"Rock Rapids, IA","Sheldon, IA",8,11,5,1,16,7,6,13,5,24,2014
63993,"Rock Rapids, IA","Orange City, IA",3,9,5,0,13,4,6,8,3,17,2014
64007,"Rock Rapids, IA","Rock Valley, IA",4,8,4,5,9,2,3,8,5,16,2014
64018,"Rock Rapids, IA","Sioux City, IA",2,12,1,0,11,4,1,8,6,15,2014
63929,"Rock Rapids, IA","Boyden, IA",2,11,2,1,8,6,6,4,5,15,2014
63979,"Rock Rapids, IA","Lester, IA",2,8,4,1,10,3,7,2,5,14,2014
63982,"Rock Rapids, IA","Little Rock, IA",0,9,5,4,9,1,7,4,3,14,2014
63968,"Rock Rapids, IA","Hull, IA",0,9,2,1,8,2,0,7,4,11,2014
63971,"Rock Rapids, IA","Ireton, IA",4,5,1,1,4,5,4,3,3,10,2014
64021,"Rock Rapids, IA","Spencer, IA",2,7,1,0,7,3,2,2,6,10,2014
63983,"Rock Rapids, IA","Maurice, IA",3,5,1,2,2,5,4,3,2,9,2014
64000,"Rock Rapids, IA","Primghar, IA",3,5,1,1,4,4,2,3,4,9,2014
63953,"Rock Rapids, IA","Estherville, IA",4,2,3,0,8,1,3,5,1,9,2014
63965,"Rock Rapids, IA","Hartley, IA",1,4,3,0,8,0,0,3,5,8,2014
63967,"Rock Rapids, IA","Hospers, IA",1,4,3,0,8,0,3,3,2,8,2014
64025,"Rock Rapids, IA","Superior, IA",1,6,0,0,5,2,0,2,5,7,2014
63920,"Rock Rapids, IA","Arnolds Park, IA",1,2,3,0,2,4,4,0,2,6,2014
63987,"Rock Rapids, IA","Milford, IA",2,4,0,0,1,5,1,4,1,6,2014
64022,"Rock Rapids, IA","Spirit Lake, IA",3,3,0,0,3,3,5,1,0,6,2014
63975,"Rock Rapids, IA","Lake Park, IA",2,4,0,1,0,5,4,0,2,6,2014
63996,"Rock Rapids, IA","Paullina, IA",0,4,1,0,4,1,1,2,2,5,2014
63964,"Rock Rapids, IA","Harris, IA",1,4,0,0,1,4,0,1,4,5,2014
64033,"Rock Rapids, IA","Waterloo, IA",1,3,1,1,0,4,0,2,3,5,2014
63915,"Rock Rapids, IA","Alton, IA",1,3,1,0,5,0,2,2,1,5,2014
