,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
70193,"State Center, IA","Liscomb, IA",7,16,15,4,30,4,16,12,10,38,2014
70207,"State Center, IA","Rhodes, IA",8,16,10,2,29,3,16,6,12,34,2014
70210,"State Center, IA","State Center, IA",6,21,6,2,28,3,14,10,9,33,2014
70186,"State Center, IA","Haverhill, IA",2,5,4,1,9,1,6,5,0,11,2014
70194,"State Center, IA","Marshalltown, IA",3,4,1,1,7,0,3,3,2,8,2014
70155,"State Center, IA","Albion, IA",2,5,0,0,6,1,4,0,3,7,2014
70202,"State Center, IA","Nevada, IA",2,5,0,2,5,0,0,4,3,7,2014
70157,"State Center, IA","Ames, IA",1,3,1,0,5,0,1,1,3,5,2014
70172,"State Center, IA","Colo, IA",0,1,2,0,2,1,1,2,0,3,2014
70204,"State Center, IA","Ottumwa, IA",2,1,0,0,1,2,3,0,0,3,2014
70190,"State Center, IA","Iowa Falls, IA",0,1,2,2,0,1,2,1,0,3,2014
70213,"State Center, IA","Union, IA",0,3,0,0,2,1,0,3,0,3,2014
70165,"State Center, IA","Carlisle, IA",0,2,0,0,0,2,2,0,0,2,2014
70198,"State Center, IA","Melbourne, IA",0,1,1,0,2,0,2,0,0,2,2014
70211,"State Center, IA","Steamboat Rock, IA",0,2,0,0,1,1,0,2,0,2,2014
70189,"State Center, IA","Iowa City, IA",0,0,2,0,2,0,2,0,0,2,2014
70156,"State Center, IA","Altoona, IA",1,1,0,0,1,1,0,2,0,2,2014
70214,"State Center, IA","Van Meter, IA",0,1,1,1,0,1,2,0,0,2,2014
70158,"State Center, IA","Ankeny, IA",2,0,0,0,2,0,0,2,0,2,2014
70218,"State Center, IA","West Des Moines, IA",1,0,1,0,2,0,0,2,0,2,2014
70217,"State Center, IA","Webster City, IA",1,1,0,0,2,0,0,0,2,2,2014
70216,"State Center, IA","Waukee, IA",1,1,0,0,0,2,1,0,1,2,2014
70200,"State Center, IA","Mitchellville, IA",1,1,0,0,0,2,1,1,0,2,2014
70195,"State Center, IA","Martelle, IA",1,0,0,0,1,0,1,0,0,1,2014
70196,"State Center, IA","Mason City, IA",0,1,0,0,0,1,1,0,0,1,2014
70197,"State Center, IA","McIntire, IA",1,0,0,1,0,0,1,0,0,1,2014
70201,"State Center, IA","Montour, IA",1,0,0,0,0,1,1,0,0,1,2014
70199,"State Center, IA","Missouri Valley, IA",0,1,0,0,1,0,1,0,0,1,2014
70212,"State Center, IA","Swan, IA",1,0,0,0,0,1,0,1,0,1,2014
70203,"State Center, IA","New London, IA",0,0,1,0,0,1,0,0,1,1,2014
70215,"State Center, IA","Vinton, IA",1,0,0,0,1,0,0,1,0,1,2014
70205,"State Center, IA","Patterson, IA",0,0,1,0,0,1,0,0,1,1,2014
70206,"State Center, IA","Rathbun, IA",0,1,0,0,1,0,1,0,0,1,2014
70192,"State Center, IA","Le Grand, IA",0,1,0,0,1,0,0,0,1,1,2014
70208,"State Center, IA","Ruthven, IA",1,0,0,0,1,0,0,1,0,1,2014
70209,"State Center, IA","Sioux City, IA",0,0,1,0,0,1,0,1,0,1,2014
70154,"State Center, IA","Albia, IA",1,0,0,0,1,0,1,0,0,1,2014
70187,"State Center, IA","Hubbard, IA",0,0,1,0,0,1,0,0,1,1,2014
70191,"State Center, IA","Lake Mills, IA",0,1,0,0,0,1,0,1,0,1,2014
70188,"State Center, IA","Huxley, IA",0,1,0,0,1,0,0,1,0,1,2014
70159,"State Center, IA","Arthur, IA",0,0,1,0,0,1,0,1,0,1,2014
70160,"State Center, IA","Bloomfield, IA",0,1,0,0,1,0,0,1,0,1,2014
70161,"State Center, IA","Bonaparte, IA",0,0,1,0,1,0,0,0,1,1,2014
70162,"State Center, IA","Brighton, IA",0,1,0,0,0,1,1,0,0,1,2014
70163,"State Center, IA","Brooklyn, IA",0,0,1,0,1,0,1,0,0,1,2014
70164,"State Center, IA","Burlington, IA",0,1,0,0,0,1,0,1,0,1,2014
70166,"State Center, IA","Casey, IA",0,1,0,0,1,0,0,1,0,1,2014
70167,"State Center, IA","Centerville, IA",1,0,0,0,1,0,1,0,0,1,2014
70168,"State Center, IA","Chariton, IA",1,0,0,1,0,0,0,1,0,1,2014
70169,"State Center, IA","Charter Oak, IA",1,0,0,0,0,1,1,0,0,1,2014
70170,"State Center, IA","Clear Lake, IA",1,0,0,0,1,0,0,1,0,1,2014
70171,"State Center, IA","Clio, IA",0,0,1,0,1,0,1,0,0,1,2014
70173,"State Center, IA","De Soto, IA",0,1,0,0,1,0,0,1,0,1,2014
70174,"State Center, IA","Deloit, IA",0,0,1,0,0,1,1,0,0,1,2014
70175,"State Center, IA","Des Moines, IA",0,0,1,0,0,1,0,1,0,1,2014
70176,"State Center, IA","East Peru, IA",1,0,0,0,0,1,0,1,0,1,2014
70177,"State Center, IA","Eddyville, IA",0,1,0,0,1,0,1,0,0,1,2014
70178,"State Center, IA","Fairfield, IA",0,1,0,0,1,0,1,0,0,1,2014
70179,"State Center, IA","Ferguson, IA",0,0,1,0,1,0,0,1,0,1,2014
70180,"State Center, IA","Fort Dodge, IA",0,1,0,0,0,1,0,1,0,1,2014
70181,"State Center, IA","Gilman, IA",0,1,0,0,1,0,0,0,1,1,2014
70182,"State Center, IA","Greenfield, IA",0,1,0,0,0,1,1,0,0,1,2014
70183,"State Center, IA","Grinnell, IA",0,1,0,0,1,0,0,0,1,1,2014
70184,"State Center, IA","Guernsey, IA",0,1,0,0,1,0,0,0,1,1,2014
70185,"State Center, IA","Harvey, IA",1,0,0,0,0,1,1,0,0,1,2014
70219,"State Center, IA","Whitten, IA",0,1,0,0,0,1,0,0,1,1,2014
