address,category,city,km distance,latitude,longitude,name,num reviews,origination,permanently closed?,price,rating,state
"305 E 1st St, Early, IA 50535",convenience stores,Early,39.34262425665348,42.4599199,-95.14842,Casey's General Store,1,"Albert City, IA",False,-1,4.0,IA
"711 E Main St, Lake City, IA 51449",convenience stores,Lake City,60.052042335307846,42.26732,-94.72568,Sparky's One Stop-Lake City,2,"Albert City, IA",False,2,4.0,IA
"800 S Grand Ave, Spencer, IA 51301",convenience stores,Spencer,41.86055304074099,43.1300392150879,-95.1432952880859,Casey's Carry Out Pizza,1,"Albert City, IA",False,-1,5.0,IA
"1001 Sanborn Ave, Okoboji, IA 51355",convenience stores,Okoboji,68.35370295764639,43.3819603,-95.1291408,Kum & Go,1,"Albert City, IA",False,-1,4.0,IA
"202 W Southern St, Sutherland, IA 51058",convenience stores,Sutherland,49.47638910039727,42.9681664,-95.4985123,Car-Go Express/Convenience Store,2,"Albert City, IA",False,-1,3.0,IA
"2098 Highway 86, Milford, IA 51351",convenience stores,Milford,65.3012144813751,43.344331,-95.178307,Oh Shucks,1,"Albert City, IA",False,-1,3.0,IA
"228 US 71, Arnolds Park, IA 51331",convenience stores,Arnolds Park,66.53312321897788,43.3641602,-95.1352254,Boondocks,1,"Albert City, IA",False,-1,4.0,IA
"819 Grand Ave, Spencer, IA 51301",convenience stores,Spencer,43.644236446407476,43.14635,-95.14518,Hy-Vee Food Store,3,"Albert City, IA",False,-1,3.5,IA
"1211 9th St, Lake View, IA 51450",convenience stores,Lake View,52.874558333414875,42.310832,-95.040174,Sparky's One Stop-Lake View,2,"Albert City, IA",False,-1,3.0,IA
"1401 Lake Shore Dr, Okoboji, IA 51355",convenience stores,Okoboji,67.66764349883279,43.37598,-95.13024,Okoboji Boat Works,9,"Albert City, IA",False,2,2.5,IA
