address,category,city,km distance,latitude,longitude,name,num reviews,origination,permanently closed?,price,rating,state
"1615 Central Ave, Estherville, IA 51334",convenience stores,Estherville,1.0095521520543003,43.4022598,-94.8220901,Ampride,1,"Estherville, IA",False,-1,3.0,IA
"1802 Hwy 71 N, Okoboji, IA 51355",convenience stores,Okoboji,23.52128953453753,43.3918991,-95.1264035,Casey's General Store,3,"Estherville, IA",False,-1,3.5,IA
"1001 Sanborn Ave, Okoboji, IA 51355",convenience stores,Okoboji,23.828592255930076,43.3819603,-95.1291408,Kum & Go,1,"Estherville, IA",False,-1,4.0,IA
"300 18th St, Spirit Lake, IA 51360",convenience stores,Spirit Lake,20.974755252095942,43.4226064,-95.0940079,Kum & Go,2,"Estherville, IA",False,-1,2.5,IA
"228 US 71, Arnolds Park, IA 51331",convenience stores,Arnolds Park,24.59340635795174,43.3641602,-95.1352254,Boondocks,1,"Estherville, IA",False,-1,4.0,IA
"2098 Highway 86, Milford, IA 51351",convenience stores,Milford,28.457004360426808,43.344331,-95.178307,Oh Shucks,1,"Estherville, IA",False,-1,3.0,IA
"350 Grant St, Jackson, MN 56143",convenience stores,Jackson,27.324633596406393,43.6224449,-94.9890961,Casey's General Store,2,"Estherville, IA",False,-1,1.0,MN
"18 Lincoln, Spirit Lake, IA 51360",convenience stores,Spirit Lake,22.063454456302797,43.422355,-95.107587,Dyno's Convenience Store 30,1,"Estherville, IA",False,-1,3.0,IA
"800 S Grand Ave, Spencer, IA 51301",convenience stores,Spencer,39.27500957668937,43.1300392150879,-95.1432952880859,Casey's Carry Out Pizza,1,"Estherville, IA",False,-1,5.0,IA
"1401 Lake Shore Dr, Okoboji, IA 51355",convenience stores,Okoboji,24.002202077883602,43.37598,-95.13024,Okoboji Boat Works,9,"Estherville, IA",False,2,2.5,IA
"819 Grand Ave, Spencer, IA 51301",convenience stores,Spencer,38.13002465812379,43.14635,-95.14518,Hy-Vee Food Store,3,"Estherville, IA",False,-1,3.5,IA
"2600 Hwy 71, Spirit Lake, IA 51360",convenience stores,Spirit Lake,23.460635357041735,43.42458,-95.124671,Walmart,3,"Estherville, IA",False,-1,2.5,IA
