address,category,city,km distance,latitude,longitude,name,num reviews,origination,permanently closed?,price,rating,state
"220 E High St, Rockwell City, IA 50579",gas stations,Rockwell City,30.87636588084179,42.39906,-94.62615,Casey's General Store,1,"Gowrie, IA",False,2,4.0,IA
"3040 220th St, Williams, IA 50271",gas stations,Williams,62.551184598647886,42.4703646750988,-93.572019618831,Flying J Travel Center,9,"Gowrie, IA",False,-1,4.0,IA
"1400 Industrial Park Rd, Ellsworth, IA 50075",gas stations,Ellsworth,58.80800260290208,42.3113351867892,-93.5742956712918,Love's Travel Stop,3,"Gowrie, IA",False,-1,4.5,IA
"203 Welch Ave, Ames, IA 50010",gas stations,Ames,59.853991475021985,42.0213737487793,-93.6502227783203,Kum & Go,2,"Gowrie, IA",False,-1,3.0,IA
"1111 Ia Hwy 175, Ellsworth, IA 50075",gas stations,Ellsworth,58.942535076097236,42.30969,-93.57294,Kum & Go,2,"Gowrie, IA",False,1,3.5,IA
"3065 220th St, Williams, IA 50271",gas stations,Williams,63.08447311636883,42.4718031139996,-93.5658118128777,Boondocks USA Truckstop,7,"Gowrie, IA",False,-1,2.5,IA
"2801 E 13th St, Ames, IA 50010",gas stations,Ames,64.68707193698073,42.0345587,-93.575628,Kum & Go,4,"Gowrie, IA",False,1,3.5,IA
"1211 9th St, Lake View, IA 51450",gas stations,Lake View,61.97493637594925,42.310832,-95.040174,Sparky's One Stop-Lake View,2,"Gowrie, IA",False,-1,3.0,IA
"303 W Broadway St, Polk City, IA 50226",gas stations,Polk City,73.65933428999223,41.771827,-93.7137901,Kum & Go,1,"Gowrie, IA",False,2,5.0,IA
"3218 Orion Dr, Ames, IA 50010",gas stations,Ames,60.33523847589153,42.0543746948242,-93.6212387084961,Swift Stop No 5,3,"Gowrie, IA",False,-1,4.5,IA
"402 E 6th St, Carroll, IA 51401",gas stations,Carroll,53.04500128698598,42.0641899108887,-94.8626403808594,Sparky's One Stop,1,"Gowrie, IA",False,3,4.0,IA
"3603 NE Otter View Cir, Ankeny, IA 50021",gas stations,Ankeny,82.52392261559363,41.7613717,-93.5716395,Kum & Go,5,"Gowrie, IA",False,2,3.5,IA
"1880 SE Princeton Dr, Grimes, IA 50111",gas stations,Grimes,79.63266669653038,41.673471,-93.772943,Kum & Go,2,"Gowrie, IA",False,2,4.0,IA
"2400 University Blvd, Ames, IA 50010",gas stations,Ames,64.60024480907629,42.0341191283991,-93.5770660424983,Phillips 66,2,"Gowrie, IA",False,-1,1.0,IA
"2019 E Lincoln Way, Ames, IA 50010",gas stations,Ames,64.51486983427868,42.02348,-93.585117,Central Iowa Towing and Recovery,7,"Gowrie, IA",False,-1,4.5,IA
"1118 S Duff Ave, Ames, IA 50010",gas stations,Ames,63.295269626227,42.0122609315186,-93.6094911691663,Swift Stop No 4,1,"Gowrie, IA",False,3,4.0,IA
"105 E Lincoln Way, Ames, IA 50010",gas stations,Ames,62.701388294463975,42.0231056213379,-93.6100387573242,Hansens Sinclair,3,"Gowrie, IA",False,-1,3.5,IA
"1310 NW 18th St, Ankeny, IA 50023",gas stations,Ankeny,81.07069669141734,41.74683,-93.61679,Casey's,3,"Gowrie, IA",False,2,4.0,IA
"400 1st Ave, Perry, IA 50220",gas stations,Perry,52.02641513706805,41.83092,-94.105205,McKee RV,4,"Gowrie, IA",False,-1,2.5,IA
"110 Airport Rd, Ames, IA 50010",gas stations,Ames,63.835308502543064,42.0005950927734,-93.6107940673828,Southgate Expresse,1,"Gowrie, IA",False,-1,3.0,IA
