address,category,city,km distance,latitude,longitude,name,num reviews,origination,permanently closed?,price,rating,state
"10889 West Red Gates Rd, Galena, IL 61036",gas stations,Galena,66.70965943439512,42.423987,-90.444674,Casey's General Store,5,"Hopkinton, IA",False,2,2.5,IL
"696 Grain Ln, Center Point, IA 52213",gas stations,Center Point,47.34429237340952,42.1726767669282,-91.7772366175361,Center Point Travel Plaza,4,"Hopkinton, IA",False,2,3.5,IA
"816 1st St W, Independence, IA 50644",gas stations,Independence,55.5655299702635,42.4689903,-91.9036407,Casey's Gen Str 2169,1,"Hopkinton, IA",False,-1,3.0,IA
"3132 1st Ave NE, Cedar Rapids, IA 52406",gas stations,Cedar Rapids,48.743600197950784,42.0096414,-91.6354877,Kum & Go,3,"Hopkinton, IA",False,-1,3.5,IA
"2320 Gateway Dr, Dubuque, IA 52003",gas stations,Dubuque,49.09407089906527,42.4585972,-90.6725219,Kwikstop Food Mart,1,"Hopkinton, IA",False,2,5.0,IA
"3730 Williams Blvd SW, Cedar Rapids, IA 52404",gas stations,Cedar Rapids,57.937399612064695,41.9555099,-91.72086,Kwik Star,3,"Hopkinton, IA",False,1,3.5,IA
"107 1st Ave E, Farley, IA 52046",gas stations,Farley,22.99018072734612,42.44301,-91.00519,Delaneys Auto & Ag Repair,1,"Hopkinton, IA",False,-1,5.0,IA
"3445 County Home Rd, Cedar Rapids, IA 52411",gas stations,Cedar Rapids,46.07773774752424,42.09436,-91.6988499,Otter Creek Country Stores,6,"Hopkinton, IA",False,2,3.0,IA
"2175 Central Ave, Dubuque, IA 52001",gas stations,Dubuque,51.0944869588289,42.5129484,-90.6711452,Road Ranger,1,"Hopkinton, IA",False,2,3.0,IA
"3935 Blairs Ferry Rd NE, Cedar Rapids, IA 52402",gas stations,Cedar Rapids,50.44932227324168,42.034062,-91.699362,Hy Vee Gas,2,"Hopkinton, IA",False,-1,3.0,IA
"9125 Atlantic Dr SW, Cedar Rapids, IA 52404",gas stations,Cedar Rapids,61.339293581860495,41.891315,-91.678764,Casey's General Store,7,"Hopkinton, IA",False,2,2.0,IA
"211 1st St E, Newhall, IA 52315",gas stations,Newhall,70.68499112925964,41.9944,-91.96762,Newhall 1st Stop C-Store,1,"Hopkinton, IA",False,-1,2.0,IA
"2020 7th Ave, Marion, IA 52302",gas stations,Marion,44.30551352107525,42.03355,-91.59015,Casey's General Store,1,"Hopkinton, IA",False,-1,5.0,IA
"400 S Military St, Martelle, IA 52305",gas stations,Martelle,36.927813639901885,42.0199737548828,-91.3606567382812,Martelle C-Store,3,"Hopkinton, IA",False,2,2.5,IA
"610 N Kansas Ave, North Liberty, IA 52317",gas stations,North Liberty,72.84666671875961,41.75308,-91.63639,Kum & Go,5,"Hopkinton, IA",False,1,3.5,IA
"1201 1st Ave SE, Cedar Rapids, IA 52402",gas stations,Cedar Rapids,52.02088263112681,41.9848,-91.65733,Casey's General Store,1,"Hopkinton, IA",False,1,1.0,IA
"5501 Asbury Rd, Dubuque, IA 52002",gas stations,Dubuque,44.30954677169943,42.5101776,-90.7587585,Casey's Carry Out Pizza,3,"Hopkinton, IA",False,-1,3.5,IA
"2512 Highway 218, Ainsworth, IA 52201",gas stations,Ainsworth,75.13705933548054,41.2914404,-91.5341213,Ainsoworth Four Corners,8,"Hopkinton, IA",False,-1,2.5,IA
"1 Hawkeye Dr, North Liberty, IA 52317",gas stations,North Liberty,73.74591837972795,41.7341399,-91.60712,Gasby's BP,1,"Hopkinton, IA",False,-1,5.0,IA
"2601 Williams Blvd S W, Cedar Rapids, IA 52404",gas stations,Cedar Rapids,56.405857832687076,41.964341,-91.706599,BP,3,"Hopkinton, IA",False,-1,1.0,IA
