address,category,city,km distance,latitude,longitude,name,num reviews,origination,permanently closed?,price,rating,state
"818 Hwy 105, Northwood, IA 50459",gas stations,Northwood,11.26924205815834,43.4447690285377,-93.3561769457145,Kum&Go,4,"Northwood, IA",False,1,5.0,IA
"2751 E Main St, Albert Lea, MN 56007",gas stations,Albert Lea,25.285004380627782,43.65972,-93.31533,Love's Travel Stop,5,"Northwood, IA",False,1,4.0,MN
"1401 4th St NW, Austin, MN 55912",gas stations,Austin,32.3213907733473,43.6786954,-92.9798364,Kwik Trip,1,"Northwood, IA",False,2,4.0,MN
"2411 US Hwy 18 E, Clear Lake, IA 50428",gas stations,Clear Lake,35.17985529735562,43.1451825,-93.3586441,Pilot Travel Center,5,"Northwood, IA",False,-1,4.0,IA
"820 Happy Trails Ln, Albert Lea, MN 56007",gas stations,Albert Lea,25.02428033040758,43.6569983823582,-93.3176115616546,TA Truck Service,18,"Northwood, IA",False,1,4.0,MN
"1702 12th St SW, Austin, MN 55912",gas stations,Austin,29.435654962805494,43.6519148,-92.9896949,Casey's General Store,1,"Northwood, IA",False,1,5.0,MN
"1510 S Grand Ave, Charles City, IA 50616",gas stations,Charles City,62.3930244419392,43.04741,-92.6715399,Kwik Star,6,"Northwood, IA",False,1,3.5,IA
"68 Monroe St, Floyd, IA 50435",gas stations,Floyd,52.70908389035917,43.1226543807227,-92.7381350618271,"218 Fuel Express Restaurant, Deli, & Liquor Store",5,"Northwood, IA",False,-1,4.0,IA
"1205 Oakland Pl SE, Austin, MN 55912",gas stations,Austin,32.29519349056131,43.6658554,-92.9585419,Ankeny's Mini Mart No.1,4,"Northwood, IA",False,2,4.0,MN
"4760 Commercial Dr SW, Rochester, MN 55902",gas stations,Rochester,82.46949710434173,43.9539985656738,-92.4713821411133,Kwik Trip,5,"Northwood, IA",False,-1,4.5,MN
"522 Chicksaw St, Rudd, IA 50471",gas stations,Rudd,43.21349546824849,43.12839,-92.90533,Town Mart,1,"Northwood, IA",False,2,2.0,IA
"2527 Bridge Ave, Albert Lea, MN 56007",gas stations,Albert Lea,28.75020910558457,43.6812866,-93.3589293,Chevrolet of Albert Lea,3,"Northwood, IA",False,-1,2.0,MN
"Grand Meadow, MN 55936",gas stations,Grand Meadow,59.510609936828594,43.70632,-92.56971,Glynn's Motor Mart,1,"Northwood, IA",False,1,4.0,MN
"560 11th Ave NW, Rochester, MN 55901",gas stations,Rochester,88.02249294775451,44.0289,-92.4782,Kwik Trip #433,3,"Northwood, IA",False,1,3.0,MN
"701 Broadway Ave N, Rochester, MN 55906",gas stations,Rochester,88.99263520797865,44.031093,-92.463469,Holiday Gas Station,1,"Northwood, IA",False,-1,1.0,MN
"1941 S Broadway, Rochester, MN 55904",gas stations,Rochester,85.96540977929415,43.9930686950684,-92.463264465332,Kwik Trip,1,"Northwood, IA",False,-1,5.0,MN
"1740 S Broadway Ave, Rochester, MN 55904",gas stations,Rochester,86.27877883774872,43.9967545424787,-92.4628516220207,Tilson's Auto Repair,1,"Northwood, IA",False,-1,4.0,MN
"80 14Th St Sw, Rochester, MN 55902",gas stations,Rochester,86.60642459173175,44.003139,-92.465271,Walgreens,5,"Northwood, IA",False,2,4.5,MN
"1101 2nd St SW, Rochester, MN 55902",gas stations,Rochester,87.38793766532321,44.02216,-92.4792,Virgil's,14,"Northwood, IA",False,-1,3.0,MN
"1727 S Broadway, Rochester, MN 55904",gas stations,Rochester,86.22181653704065,43.99715,-92.46456,Wash Me Car Wash,3,"Northwood, IA",False,-1,3.5,MN
