address,category,city,km distance,latitude,longitude,name,num reviews,origination,permanently closed?,price,rating,state
"2003 Chatburn Ave, Harlan, IA 51537",groceries,Harlan,34.83533829634136,41.64513,-95.33614,Hy-Vee Foods,1,"Audubon, IA",False,1,4.0,IA
"905 W US Highway 30, Carroll, IA 51401",groceries,Carroll,39.55295905910179,42.070358,-94.877676,Hy-Vee,3,"Audubon, IA",False,-1,5.0,IA
"106 W Washington St, Ste 1, Jefferson, IA 50129",groceries,Jefferson,56.69663268127762,42.0172829926014,-94.3750040978193,Hy-Vee Food Store,3,"Audubon, IA",False,-1,5.0,IA
"101 Highway 141, Bayard, IA 50029",groceries,Bayard,34.10494387375168,41.8486947566271,-94.5515504479408,Sparky's One Stop,1,"Audubon, IA",False,-1,5.0,IA
"201 Idaho St, Glidden, IA 51443",groceries,Glidden,41.25366393679818,42.0568771362305,-94.7292327880859,Glidden Grocery,1,"Audubon, IA",False,-1,5.0,IA
"212 W Wood St, Avoca, IA 51521",groceries,Avoca,42.544144434836056,41.4883193969727,-95.3377838134766,Super Foods,1,"Audubon, IA",False,2,3.0,IA
"1630 E 7th St, Atlantic, IA 50022",groceries,Atlantic,35.05471497901571,41.4046974182129,-94.9894027709961,Hy-Vee Food Stores,1,"Audubon, IA",False,-1,3.0,IA
"601 E Main St, Panora, IA 50216",groceries,Panora,47.49652979942166,41.69186,-94.35701,Panora Hometown Foods,1,"Audubon, IA",False,-1,1.0,IA
"924 4th Ave S, Denison, IA 51442",groceries,Denison,48.60122364402964,42.012718,-95.359718,Jaliscence #2,1,"Audubon, IA",False,-1,4.0,IA
"209 Front St, Neola, IA 51559",groceries,Neola,64.25082938548645,41.4492782950401,-95.6147432327271,Schierbrock Dept Store,1,"Audubon, IA",False,-1,5.0,IA
"1119 Market St, Gowrie, IA 50543",groceries,Gowrie,81.93396919297778,42.2802391052246,-94.2894515991211,Jamboree Foods,1,"Audubon, IA",False,-1,5.0,IA
"Highway 71 & # 175, Ste 175, Lake View, IA 51450",groceries,Lake View,65.8537479201787,42.311161,-95.0327835,Sparky's One Stop-Lake View,1,"Audubon, IA",False,-1,3.0,IA
"601 SE Kent St, Greenfield, IA 50849",groceries,Greenfield,60.62290323720814,41.3032346963882,-94.4530778378248,Casey's General Store,1,"Audubon, IA",False,-1,4.0,IA
