address,category,city,km distance,latitude,longitude,name,num reviews,origination,permanently closed?,price,rating,state
"127 S 2nd St, LeClaire, IA 52753",restaurant,LeClaire,2.0162116589655725,41.59683,-90.34464,Crane & Pelican Cafe,111,"Le Claire, IA",False,2,4.0,IA
"1001 Canal Shore Dr Sw, Leclaire, IA 52753",restaurant,Leclaire,1.4259091016800927,41.586601,-90.357473,Bierstube,108,"Le Claire, IA",False,2,3.5,IA
"201 N Main St, Port Byron, IL 61275",restaurant,Port Byron,3.0231538018100466,41.608293452022,-90.3363459981941,Tuggers  - Burger Bar & Ale House,33,"Le Claire, IA",False,2,5.0,IL
"1399 Eagle Ridge Rd, Le Claire, IA 52753",restaurant,Le Claire,1.1608087958989914,41.58779,-90.36093,Steventon's,51,"Le Claire, IA",False,3,4.0,IA
"1204 N Cody Rd, Le Claire, IA 52753",restaurant,Le Claire,2.5804000552580417,41.6105003356934,-90.3445663452148,Big Dave & Holly's,38,"Le Claire, IA",False,1,4.5,IA
"1295 Eagle Ridge Rd, Le Claire, IA 52753",restaurant,Le Claire,1.1515577001629222,41.58819,-90.3597,Breakfast at Berries,11,"Le Claire, IA",False,2,5.0,IA
"108 S Main St, Port Byron, IL 61275",restaurant,Port Byron,2.9375677185270783,41.6063357869545,-90.3362830511049,Jimmie Lee's Bar & Grill,8,"Le Claire, IA",False,2,5.0,IL
"117 Cody Rd N, Le Claire, IA 52753",restaurant,Le Claire,2.1328711501096596,41.5981254577637,-90.3433837890625,The Faithful Pilot Cafe & Spirits,45,"Le Claire, IA",False,3,3.5,IA
"1718 2nd Ave, Rapids City, IL 61278",restaurant,Rapids City,2.4180870356100725,41.5790099,-90.35106,The Brothers  Restaurant,30,"Le Claire, IA",False,1,4.0,IL
"701 N Cody Rd, Le Claire, IA 52753",restaurant,Le Claire,2.3109060672295083,41.6055134821904,-90.3440647202377,Riverview Roadhouse Bar & Grill,4,"Le Claire, IA",False,1,3.5,IA
"201 N Cody Rd, Le Claire, IA 52753",restaurant,Le Claire,2.1428726359839576,41.59873,-90.34341,Blue Iguana,121,"Le Claire, IA",False,2,3.0,IA
"129 N Cody Rd, Le Claire, IA 52753",restaurant,Le Claire,2.1374747754253227,41.5984497,-90.3433685,129 Coffee and Wine Bar,18,"Le Claire, IA",False,2,4.5,IA
"102 N Cody Rd, Le Claire, IA 52753",restaurant,Le Claire,2.0908309685688042,41.59776,-90.34403,LeClaire Olive Oil,2,"Le Claire, IA",False,-1,5.0,IA
"102 N Main St, Port Byron, IL 61275",restaurant,Port Byron,2.9665424496240247,41.60676,-90.3361199,Duey's Corner Tap,5,"Le Claire, IA",False,1,3.5,IL
"119 N Cody Rd, Le Claire, IA 52753",restaurant,Le Claire,2.1337591691598243,41.5982,-90.3433699,Happy Joe's Pizza & Ice Cream Parlor,16,"Le Claire, IA",False,2,3.5,IA
"709 S High St, Port Byron, IL 61275",restaurant,Port Byron,2.7715457960621537,41.5973777770996,-90.3355865478516,Riverbend Pizza Place,2,"Le Claire, IA",False,-1,4.5,IL
"701 N Cody Rd, Le Claire, IA 52753",restaurant,Le Claire,2.319189079469125,41.6048812866211,-90.3437576293945,Wise Guys Pizza & More,3,"Le Claire, IA",False,-1,4.0,IA
"2024 2nd Ave, Rapids City, IL 61278",restaurant,Rapids City,2.3504150723781723,41.57767,-90.35542,GiLanella's Pizza,10,"Le Claire, IA",False,-1,3.5,IL
"1303 Eagle Ridge Rd, Le Claire, IA 52753",restaurant,Le Claire,1.1639274607602654,41.5879669777428,-90.3602333044883,Subway,1,"Le Claire, IA",False,2,5.0,IA
"1005 Canal Shore Dr SW, Le Claire, IA 52753",restaurant,Le Claire,1.4264124031825025,41.5874315053225,-90.3547503054142,Pizza Hut,1,"Le Claire, IA",False,-1,2.0,IA
