address,category,city,km distance,latitude,longitude,name,num reviews,origination,permanently closed?,price,rating,state
"929 W Milwaukee St, New Hampton, IA 50659",restaurants,New Hampton,21.73851261611218,43.06797,-92.32932,Klunder's Kafe,20,"Elma, IA",False,1,4.5,IA
"205 Adams St, Floyd, IA 50435",restaurants,Floyd,27.913477717680493,43.12453,-92.7406,Dugans Restaurant & Lounge,25,"Elma, IA",False,2,4.5,IA
"627 Main St, Osage, IA 50461",restaurants,Osage,30.46451874224566,43.2843818664551,-92.8116836547852,Teluwut Grille House & Pub,16,"Elma, IA",False,2,4.0,IA
"680 W Milwaukee St, New Hampton, IA 50659",restaurants,New Hampton,22.017348130594144,43.06641,-92.32452,Big Ed's Firehouse,9,"Elma, IA",False,2,3.5,IA
"104 N Elm St, Cresco, IA 52136",restaurants,Cresco,29.636506223605057,43.372487872839,-92.116722241044,Teluwut Grille House & Pub,11,"Elma, IA",False,2,3.0,IA
"316 Main St, Nashua, IA 50658",restaurants,Nashua,33.56185087492803,42.95204,-92.5366,Shelby's Southern Smokehouse,5,"Elma, IA",False,1,5.0,IA
"101 N Jackson St, Charles City, IA 50616",restaurants,Charles City,27.849532853764227,43.0675557999231,-92.6803798515672,The Pub On The Cedar,14,"Elma, IA",False,2,3.5,IA
"128 W Main St, Le Roy, MN 55951",restaurants,Le Roy,29.916470409038453,43.509908169508,-92.5044898688793,Sweet's Hotel Restaurant & Bar,9,"Elma, IA",False,3,4.0,MN
"105 N Main St, Back Entrance, Charles City, IA 50616",restaurants,Charles City,27.85280263433696,43.0669025,-92.6793945,Cedar River Pizza Co,4,"Elma, IA",False,1,5.0,IA
"2205 S Linn Ave, New Hampton, IA 50659",restaurants,New Hampton,25.209691428852743,43.03692,-92.31884,The Pub At The Pinicon,5,"Elma, IA",False,-1,3.0,IA
"322 Main St, Nashua, IA 50658",restaurants,Nashua,33.574520541746075,42.9522483,-92.5358809,Tangled Root Cafe & Catering,1,"Elma, IA",False,-1,5.0,IA
"201 Plaza Ln, Osage, IA 50461",restaurants,Osage,29.484845808327908,43.28495,-92.79938,Tres Amigos,2,"Elma, IA",False,2,5.0,IA
"1009 S Grand Ave, Charles City, IA 50616",restaurants,Charles City,28.271292055229072,43.05728,-92.67302,Lucky Dragon,10,"Elma, IA",False,2,4.5,IA
"417 N Main St, Charles City, IA 50616",restaurants,Charles City,27.515362174843645,43.06954,-92.67728,I Don't Care,9,"Elma, IA",False,2,3.5,IA
"726 2nd Ave SE, Cresco, IA 52136",restaurants,Cresco,30.319857522366895,43.3711514621973,-92.1069449186325,Sue-Z-Q's Family Dining,3,"Elma, IA",False,1,3.0,IA
"2303 Hwy 24, New Hampton, IA 50659",restaurants,New Hampton,22.612140801534164,43.0597991943359,-92.2980346679688,Poor Richard's Restaurant & Pizza Kitchen,4,"Elma, IA",False,2,4.0,IA
"809 S Grand Ave, Charles City, IA 50616",restaurants,Charles City,28.11115479502372,43.0593681335449,-92.6729354858398,Dave's Restaurant,11,"Elma, IA",False,2,4.0,IA
"116 S Main St, Protivin, IA 52163",restaurants,Protivin,28.3892742323446,43.2170254357338,-92.0910422640256,The Place in Protivin,1,"Elma, IA",False,-1,5.0,IA
"5 E Main St, New Hampton, IA 50659",restaurants,New Hampton,23.05434152608722,43.0590438842773,-92.3151092529297,Lucky Bamboo Restaurant,4,"Elma, IA",False,-1,4.0,IA
"701 S Grand Ave, Charles City, IA 50616",restaurants,Charles City,28.02004383612393,43.06071,-92.67324,Plaza Mexico,17,"Elma, IA",False,2,4.0,IA
